Zip,Weekday,Hour,Expected Trips,Expected Trips (Est)
7010,0,0,0,0.042359765619039536
7010,0,1,0,0.04232765734195709
7010,0,2,0,0.042337581515312195
7010,0,3,0,0.04294440150260925
7010,0,4,0,0.04355122521519661
7010,0,5,0,0.044158052653074265
7010,0,6,0,0.04476487636566162
7010,0,7,0,0.04560099542140961
7010,0,8,0,0.0477588027715683
7010,0,9,0,0.04948710650205612
7010,0,10,0,0.05106699466705322
7010,0,11,0,0.052646882832050323
7010,0,12,0,0.054226767271757126
7010,0,13,0,0.05580665543675423
7010,0,14,0,0.05738653987646103
7010,0,15,0,0.05896643176674843
7010,0,16,0,0.06054631620645523
7010,0,17,0,0.06212620437145233
7010,0,18,0,0.06355307251214981
7010,0,19,0,0.06497412174940109
7010,0,20,0,0.06639516353607178
7010,0,21,0,0.06781622022390366
7010,0,22,0,0.06818053871393204
7010,0,23,0,0.06859258562326431
7010,1,0,0,0.04009140655398369
7010,1,1,0,0.04005841910839081
7010,1,2,0,0.04002542421221733
7010,1,3,0,0.03999243676662445
7010,1,4,0,0.040814921259880066
7010,1,5,0,0.04175499454140663
7010,1,6,0,0.0426950678229332
7010,1,7,0,0.04363514110445976
7010,1,8,0,0.04457521066069603
7010,1,9,0,0.04596085846424103
7010,1,10,0,0.047539860010147095
7010,1,11,0,0.04911886528134346
7010,1,12,0,0.050697870552539825
7010,1,13,0,0.05227687209844589
7010,1,14,0,0.05385587736964226
7010,1,15,0,0.05546773970127106
7010,1,16,0,0.0570191815495491
7010,1,17,0,0.05760059505701065
7010,1,18,0,0.0581820048391819
7010,1,19,0,0.05876341089606285
7010,1,20,0,0.0593448206782341
7010,1,21,0,0.05992622673511505
7010,1,22,0,0.06049885228276253
7010,1,23,0,0.06092142313718796
7010,2,0,0,0.03719586133956909
7010,2,1,0,0.03813593462109566
7010,2,2,0,0.039076004177331924
7010,2,3,0,0.04001607745885849
7010,2,4,0,0.040956154465675354
7010,2,5,0,0.04189622402191162
7010,2,6,0,0.04283629730343819
7010,2,7,0,0.043776363134384155
7010,2,8,0,0.04479355365037918
7010,2,9,0,0.045814186334609985
7010,2,10,0,0.04683481529355049
7010,2,11,0,0.04761778563261032
7010,2,12,0,0.04756025969982147
7010,2,13,0,0.04750273749232292
7010,2,14,0,0.04744521155953407
7010,2,15,0,0.047597870230674744
7010,2,16,0,0.04817928373813629
7010,2,17,0,0.04876068979501724
7010,2,18,0,0.04934209957718849
7010,2,19,0,0.04992350563406944
7010,2,20,0,0.05068407580256462
7010,2,21,0,0.05154984071850777
7010,2,22,0,0.052415601909160614
7010,2,23,0,0.05328136682510376
7010,3,0,0,0.03941388428211212
7010,3,1,0,0.03931933268904686
7010,3,2,0,0.039591193199157715
7010,3,3,0,0.04043980687856674
7010,3,4,0,0.04146043211221695
7010,3,5,0,0.042481064796447754
7010,3,6,0,0.04313448444008827
7010,3,7,0,0.04307695850729942
7010,3,8,0,0.04301943629980087
7010,3,9,0,0.04296191781759262
7010,3,10,0,0.04290439188480377
7010,3,11,0,0.04309714585542679
7010,3,12,0,0.043323975056409836
7010,3,13,0,0.043550800532102585
7010,3,14,0,0.04377763345837593
7010,3,15,0,0.04400445893406868
7010,3,16,0,0.044231295585632324
7010,3,17,0,0.04445812106132507
7010,3,18,0,0.04468495398759842
7010,3,19,0,0.04491178318858147
7010,3,20,0,0.045138612389564514
7010,3,21,0,0.04536543786525726
7010,3,22,0,0.04620599374175072
7010,3,23,0,0.047071754932403564
7010,4,0,0,0.043906375765800476
7010,4,1,0,0.04335210472345352
7010,4,2,0,0.0424637608230114
7010,4,3,0,0.041575413197278976
7010,4,4,0,0.04099515452980995
7010,4,5,0,0.04068627208471298
7010,4,6,0,0.040377382189035416
7010,4,7,0,0.040068499743938446
7010,4,8,0,0.04027603194117546
7010,4,9,0,0.04050286114215851
7010,4,10,0,0.040729690343141556
7010,4,11,0,0.0409565195441246
7010,4,12,0,0.04118335247039795
