Zip,Weekday,Hour,Number of Trips
6450,0,0,0
6450,0,1,0
6450,0,2,0
6450,0,3,0
6450,0,4,0
6450,0,5,0
6450,0,6,0
6450,0,7,0
6450,0,8,0
6450,0,9,0
6450,0,10,0
6450,0,11,0
6450,0,12,0
6450,0,13,0
6450,0,14,0
6450,0,15,0
6450,0,16,0
6450,0,17,0
6450,0,18,0
6450,0,19,0
6450,0,20,0
6450,0,21,0
6450,0,22,0
6450,0,23,0
6450,1,0,0
6450,1,1,0
6450,1,2,0
6450,1,3,0
6450,1,4,0
6450,1,5,0
6450,1,6,0
6450,1,7,0
6450,1,8,3
6450,1,9,0
6450,1,10,0
6450,1,11,0
6450,1,12,0
6450,1,13,0
6450,1,14,0
6450,1,15,0
6450,1,16,0
6450,1,17,0
6450,1,18,0
6450,1,19,0
6450,1,20,0
6450,1,21,0
6450,1,22,0
6450,1,23,0
6450,2,0,0
6450,2,1,0
6450,2,2,0
6450,2,3,0
6450,2,4,0
6450,2,5,0
6450,2,6,1
6450,2,7,5
6450,2,8,8
6450,2,9,0
6450,2,10,0
6450,2,11,0
6450,2,12,0
6450,2,13,0
6450,2,14,0
6450,2,15,0
6450,2,16,0
6450,2,17,0
6450,2,18,0
6450,2,19,0
6450,2,20,0
6450,2,21,0
6450,2,22,0
6450,2,23,0
6450,3,0,0
6450,3,1,0
6450,3,2,0
6450,3,3,0
6450,3,4,0
6450,3,5,0
6450,3,6,2
6450,3,7,5
6450,3,8,6
6450,3,9,0
6450,3,10,0
6450,3,11,0
6450,3,12,0
6450,3,13,0
6450,3,14,0
6450,3,15,0
6450,3,16,0
6450,3,17,0
6450,3,18,0
6450,3,19,0
6450,3,20,0
6450,3,21,0
6450,3,22,0
6450,3,23,0
6450,4,0,13
6450,4,1,4
6450,4,2,0
6450,4,3,0
6450,4,4,0
6450,4,5,0
6450,4,6,2
6450,4,7,5
6450,4,8,4
6450,4,9,0
6450,4,10,0
6450,4,11,0
6450,4,12,0
6450,4,13,0
6450,4,14,0
6450,4,15,0
6450,4,16,0
6450,4,17,0
6450,4,18,0
6450,4,19,0
6450,4,20,0
6450,4,21,0
6450,4,22,0
6450,4,23,0
6450,5,0,28
6450,5,1,19
6450,5,2,10
6450,5,3,1
6450,5,4,0
6450,5,5,0
6450,5,6,3
6450,5,7,6
6450,5,8,2
6450,5,9,0
6450,5,10,0
6450,5,11,0
6450,5,12,0
6450,5,13,0
6450,5,14,0
6450,5,15,0
6450,5,16,0
6450,5,17,0
6450,5,18,0
6450,5,19,0
6450,5,20,0
6450,5,21,0
6450,5,22,0
6450,5,23,0
6450,6,0,43
6450,6,1,34
6450,6,2,25
6450,6,3,16
6450,6,4,8
6450,6,5,0
6450,6,6,3
6450,6,7,6
6450,6,8,3
6450,6,9,3
6450,6,10,3
6450,6,11,4
6450,6,12,4
6450,6,13,4
6450,6,14,4
6450,6,15,4
6450,6,16,4
6450,6,17,4
6450,6,18,4
6450,6,19,4
6450,6,20,4
6450,6,21,4
6450,6,22,4
6450,6,23,3
6461,0,0,0
6461,0,1,0
6461,0,2,0
6461,0,3,0
6461,0,4,0
6461,0,5,0
6461,0,6,0
6461,0,7,0
6461,0,8,0
6461,0,9,0
6461,0,10,0
6461,0,11,0
6461,0,12,0
6461,0,13,0
6461,0,14,0
6461,0,15,0
6461,0,16,0
6461,0,17,0
6461,0,18,0
6461,0,19,0
6461,0,20,0
6461,0,21,0
6461,0,22,0
6461,0,23,0
6461,1,0,0
6461,1,1,0
6461,1,2,0
6461,1,3,0
6461,1,4,0
6461,1,5,0
6461,1,6,0
6461,1,7,0
6461,1,8,3
6461,1,9,0
6461,1,10,0
6461,1,11,0
6461,1,12,0
6461,1,13,0
6461,1,14,0
6461,1,15,0
6461,1,16,0
6461,1,17,0
6461,1,18,0
6461,1,19,0
