Zip,Number of Trips
1566,1
6410,1
6450,2
6460,1
6461,1
6510,3
6511,3
6514,1
6515,1
6604,1
6605,10
6606,2
6615,1
6807,15
6820,23
6824,6
6825,1
6830,109
6831,7
6840,8
6850,3
6851,12
6853,2
6854,4
6855,16
6870,30
6878,22
6880,22
6883,3
6890,13
6897,4
6901,146
6902,23
6905,9
6906,7
6907,6
7001,15
7002,483
7003,93
7004,61
7005,12
7006,60
7008,35
7009,61
7010,275
7011,18
7012,93
7013,46
7014,170
7016,56
7017,61
7018,83
7020,289
7021,96
7022,155
7023,30
7024,705
7026,75
7027,36
7028,182
7029,121
7030,11828
7031,79
7032,42
7033,51
7034,8
7035,13
7036,48
7039,128
7040,183
7041,91
7042,218
7043,157
7044,85
7045,10
7046,53
7047,269
7050,107
7052,183
7054,69
7055,36
7057,47
7058,18
7059,13
7060,3
7062,15
7063,9
7064,2
7065,63
7066,38
7067,17
7068,70
7069,18
7070,300
7071,45
7072,802
7073,189
7074,104
7075,74
7076,9
7077,8
7078,325
7079,245
7080,32
7081,92
7082,1
7083,77
7086,1157
7087,862
7088,72
7090,88
7092,29
7093,945
7094,1253
7095,49
7102,2169
7103,183
7104,91
7105,251
7106,84
7107,46
7108,100
7109,58
7110,131
7111,74
7112,88
7114,32134
7201,592
7202,96
7203,30
7204,43
7205,62
7206,121
7208,148
7302,4037
7304,1205
7305,390
7306,1414
7307,1101
7310,9998
7311,5274
7401,42
7403,1
7405,4
7407,23
7410,33
7417,55
7420,1
7423,48
7424,62
7430,15
7432,30
7436,14
7440,14
7442,17
7444,19
7446,67
7450,139
7452,62
7457,17
7458,95
7463,36
7465,1
7470,70
7481,55
7495,25
7501,31
7502,13
7503,17
7504,4
7505,12
7506,31
7508,10
7512,87
7513,13
7514,18
7522,5
7524,15
7601,230
7603,86
7604,140
7605,217
7606,48
7607,68
7608,118
7621,66
7624,12
7626,86
7627,39
7628,26
7630,7
7631,418
7632,325
7640,23
7641,3
7642,27
7643,46
7644,80
7645,54
7646,39
7647,26
7648,48
7649,49
7650,136
7652,164
7656,19
7657,29
7660,215
7661,81
7662,157
7663,67
7666,135
7670,205
7675,18
7676,73
7677,23
7701,62
7702,7
7703,4
7704,14
7711,32
7712,10
7716,9
7717,191
7719,13
7720,26
7721,9
7722,13
7723,17
7724,10
7726,3
7727,3
7728,4
7730,14
7731,3
7732,12
7733,17
7734,1
7735,4
7737,1
7738,6
7739,11
7740,38
7746,10
7747,13
7748,7
7750,21
7751,11
7753,14
