Zip,Weekday,Number of Trips
1566,6,1
6410,4,1
6450,4,2
6460,5,1
6461,6,1
6510,1,1
6510,4,1
6510,5,1
6511,3,1
6511,6,2
6514,0,1
6515,4,1
6604,4,1
6605,1,1
6605,3,3
6605,4,2
6605,5,3
6605,6,1
6606,4,2
6615,3,1
6807,1,1
6807,2,5
6807,3,6
6807,5,1
6807,6,2
6820,0,3
6820,1,3
6820,2,4
6820,3,2
6820,4,3
6820,5,4
6820,6,4
6824,2,1
6824,3,1
6824,5,4
6825,0,1
6830,0,7
6830,1,15
6830,2,25
6830,3,18
6830,4,19
6830,5,22
6830,6,3
6831,2,2
6831,3,1
6831,4,1
6831,5,2
6831,6,1
6840,2,2
6840,3,1
6840,4,3
6840,5,1
6840,6,1
6850,4,2
6850,5,1
6851,0,2
6851,1,3
6851,3,3
6851,4,2
6851,5,2
6853,0,1
6853,4,1
6854,2,1
6854,4,1
6854,5,1
6854,6,1
6855,1,5
6855,2,3
6855,3,3
6855,4,3
6855,6,2
6870,0,5
6870,1,2
6870,2,5
6870,3,5
6870,4,6
6870,5,4
6870,6,3
6878,0,1
6878,1,5
6878,2,3
6878,3,4
6878,4,2
6878,5,5
6878,6,2
6880,0,1
6880,2,2
6880,4,6
6880,5,13
6883,2,1
6883,5,2
6890,1,1
6890,2,3
6890,3,4
6890,5,4
6890,6,1
6897,1,1
6897,4,1
6897,5,1
6897,6,1
6901,0,11
6901,1,17
6901,2,38
6901,3,23
6901,4,22
6901,5,21
6901,6,14
6902,0,2
6902,1,2
6902,2,2
6902,3,5
6902,4,4
6902,5,7
6902,6,1
6905,1,2
6905,2,3
6905,3,1
6905,4,1
6905,5,2
6906,0,2
6906,1,1
6906,2,1
6906,5,3
6907,4,1
6907,5,4
6907,6,1
7001,0,1
7001,1,4
7001,2,3
7001,3,2
7001,4,1
7001,5,1
7001,6,3
7002,0,61
7002,1,53
7002,2,55
7002,3,59
7002,4,99
7002,5,103
7002,6,53
7003,0,17
7003,1,10
7003,2,11
7003,3,16
7003,4,11
7003,5,18
7003,6,10
7004,0,7
7004,1,9
7004,2,7
7004,3,7
7004,4,5
7004,5,16
7004,6,10
7005,0,2
7005,2,1
7005,3,1
7005,5,2
7005,6,6
7006,0,9
7006,1,5
7006,2,8
7006,3,5
7006,4,14
7006,5,12
7006,6,7
7008,0,6
7008,1,6
7008,2,2
7008,3,2
7008,4,7
7008,5,7
7008,6,5
7009,0,9
7009,1,2
7009,2,4
7009,3,10
7009,4,9
7009,5,15
7009,6,12
7010,0,28
7010,1,22
7010,2,27
7010,3,44
7010,4,41
7010,5,64
7010,6,49
7011,0,1
7011,1,2
7011,2,1
7011,3,1
7011,4,5
7011,5,8
7012,0,13
7012,1,12
7012,2,17
7012,3,16
7012,4,14
7012,5,15
7012,6,6
7013,0,5
7013,1,4
7013,2,5
7013,3,2
7013,4,8
7013,5,16
7013,6,6
7014,0,13
7014,1,25
7014,2,18
7014,3,19
7014,4,26
7014,5,44
7014,6,25
7016,0,9
7016,1,7
7016,2,7
7016,3,6
7016,4,6
7016,5,12
7016,6,9
7017,0,10
7017,1,8
7017,2,10
7017,3,6
7017,4,14
7017,5,8
7017,6,5
7018,0,12
7018,1,17
7018,2,13
7018,3,7
7018,4,10
7018,5,17
7018,6,7
7020,0,40
7020,1,39
7020,2,36
7020,3,39
7020,4,34
7020,5,48
7020,6,53
7021,0,9
7021,1,11
7021,2,11
7021,3,7
7021,4,23
7021,5,22
7021,6,13
7022,0,22
7022,1,18
7022,2,22
7022,3,17
7022,4,23
7022,5,23
7022,6,30
7023,0,2
7023,1,3
7023,2,4
7023,3,3
7023,4,6
7023,5,7
7023,6,5
7024,0,105
7024,1,106
7024,2,81
7024,3,108
7024,4,98
7024,5,98
7024,6,109
7026,0,9
7026,1,12
7026,2,10
7026,3,8
7026,4,13
7026,5,13
7026,6,10
7027,0,3
7027,1,3
7027,2,3
7027,3,1
7027,4,9
7027,5,13
7027,6,4
7028,0,22
7028,1,20
7028,2,17
7028,3,33
7028,4,34
7028,5,33
7028,6,23
7029,0,13
7029,1,15
7029,2,26
7029,3,15
7029,4,14
7029,5,29
7029,6,9
7030,0,1033
7030,1,1137
7030,2,1115
7030,3,1380
7030,4,1887
7030,5,3025
7030,6,2251
7031,0,6
7031,1,3
7031,2,8
7031,3,7
7031,4,9
7031,5,27
7031,6,19
7032,0,13
7032,1,10
7032,2,6
7032,3,5
7032,4,3
7032,5,3
7032,6,2
7033,0,6
7033,1,8
7033,2,7
7033,3,11
7033,4,9
7033,5,6
7033,6,4
7034,0,2
7034,1,2
7034,2,2
7034,5,2
7035,0,1
7035,1,4
7035,3,2
7035,4,1
7035,5,3
7035,6,2
7036,0,13
7036,1,10
7036,2,3
7036,3,5
7036,4,3
7036,5,9
7036,6,5
7039,0,14
7039,1,18
7039,2,20
7039,3,19
7039,4,18
7039,5,28
7039,6,11
7040,0,35
7040,1,28
7040,2,27
7040,3,26
7040,4,23
7040,5,26
7040,6,18
7041,0,17
7041,1,15
7041,2,13
7041,3,16
7041,4,15
7041,5,9
7041,6,6
7042,0,23
7042,1,17
7042,2,18
7042,3,31
7042,4,41
7042,5,65
7042,6,23
7043,0,19
7043,1,16
7043,2,11
7043,3,22
7043,4,25
7043,5,33
7043,6,31
7044,0,9
7044,1,11
7044,2,6
7044,3,11
7044,4,12
7044,5,22
7044,6,14
7045,0,1
7045,2,1
7045,3,1
7045,4,3
7045,5,2
7045,6,2
7046,0,8
7046,1,12
7046,2,10
7046,3,9
7046,4,8
7046,5,3
7046,6,3
7047,0,41
7047,1,29
7047,2,28
7047,3,40
7047,4,42
7047,5,45
7047,6,44
7050,0,14
7050,1,22
7050,2,17
7050,3,15
7050,4,9
7050,5,13
7050,6,17
7052,0,18
7052,1,16
7052,2,29
7052,3,21
7052,4,28
7052,5,54
7052,6,17
7054,0,12
7054,1,14
7054,2,14
7054,3,16
7054,4,3
7054,5,6
7054,6,4
7055,0,7
7055,1,6
7055,2,5
7055,3,7
7055,4,3
7055,5,4
7055,6,4
7057,0,8
7057,1,4
7057,2,3
7057,3,6
7057,4,6
7057,5,14
7057,6,6
7058,0,2
7058,1,3
7058,2,3
7058,3,1
7058,4,2
7058,5,5
7058,6,2
7059,0,2
7059,1,4
7059,2,3
7059,3,2
7059,4,1
7059,6,1
7060,2,1
7060,3,2
7062,0,4
7062,1,3
7062,2,2
7062,4,3
7062,5,3
7063,0,1
7063,2,1
7063,3,1
7063,5,3
7063,6,3
7064,3,1
7064,6,1
7065,0,6
7065,1,8
7065,2,7
7065,3,10
7065,4,6
7065,5,15
7065,6,11
7066,0,2
7066,1,6
7066,2,5
7066,3,5
7066,4,9
7066,5,7
7066,6,4
7067,0,3
7067,1,4
7067,2,3
7067,3,1
7067,4,1
7067,5,2
7067,6,3
7068,0,12
7068,1,14
7068,2,12
7068,3,15
7068,4,9
7068,5,5
7068,6,3
7069,0,2
7069,1,1
7069,2,1
7069,3,2
7069,4,3
7069,5,6
7069,6,3
7070,0,51
7070,1,44
7070,2,48
7070,3,39
7070,4,37
7070,5,40
7070,6,41
7071,0,9
7071,1,7
7071,2,8
7071,3,10
7071,4,3
7071,5,6
7071,6,2
7072,0,101
7072,1,73
7072,2,59
7072,3,92
7072,4,95
7072,5,176
7072,6,206
7073,0,17
7073,1,20
7073,2,21
7073,3,22
7073,4,32
7073,5,43
7073,6,34
7074,0,16
7074,1,11
7074,2,16
7074,3,17
7074,4,18
7074,5,9
7074,6,17
7075,0,9
7075,1,11
7075,2,10
7075,3,11
7075,4,8
7075,5,17
7075,6,8
7076,0,2
7076,2,1
7076,3,3
