Zip,Hour,Number of Trips
1566,8,1
6410,14,1
6450,10,2
6460,11,1
6461,19,1
6510,10,1
6510,12,1
6510,15,1
6511,1,1
6511,11,2
6514,5,1
6515,9,1
6604,13,1
6605,0,1
6605,2,1
6605,9,2
6605,14,1
6605,15,1
6605,19,1
6605,22,1
6605,23,2
6606,8,2
6615,6,1
6807,0,1
6807,3,1
6807,4,1
6807,7,2
6807,8,1
6807,11,2
6807,12,1
6807,15,2
6807,18,1
6807,19,1
6807,20,1
6807,22,1
6820,0,1
6820,1,1
6820,8,1
6820,9,1
6820,10,3
6820,11,3
6820,12,2
6820,14,3
6820,17,1
6820,20,2
6820,21,2
6820,22,1
6820,23,2
6824,9,1
6824,10,1
6824,11,2
6824,21,1
6824,22,1
6825,14,1
6830,0,2
6830,2,1
6830,3,1
6830,4,1
6830,5,1
6830,6,1
6830,7,2
6830,8,3
6830,9,3
6830,10,4
6830,11,6
6830,12,4
6830,13,7
6830,14,4
6830,15,2
6830,16,5
6830,17,7
6830,18,6
6830,19,6
6830,20,12
6830,21,14
6830,22,13
6830,23,4
6831,2,1
6831,12,2
6831,17,2
6831,18,1
6831,20,1
6840,8,1
6840,12,1
6840,15,1
6840,19,1
6840,20,1
6840,21,3
6850,11,2
6850,16,1
6851,6,1
6851,7,2
6851,10,1
6851,11,1
6851,16,4
6851,18,1
6851,21,2
6853,13,1
6853,16,1
6854,0,1
6854,1,1
6854,8,1
6854,21,1
6855,0,4
6855,13,2
6855,18,2
6855,19,1
6855,20,1
6855,22,4
6855,23,2
6870,2,1
6870,4,1
6870,6,1
6870,8,1
6870,9,1
6870,11,3
6870,12,2
6870,13,2
6870,14,2
6870,16,1
6870,18,1
6870,20,4
6870,21,1
6870,22,5
6870,23,4
6878,2,1
6878,14,1
6878,15,1
6878,17,3
6878,18,4
6878,20,2
6878,21,2
6878,22,6
6878,23,2
6880,9,1
6880,10,2
6880,11,1
6880,12,1
6880,15,2
6880,16,1
6880,19,7
