Zip,Weekday,Hour,Number of Trips
1566,6,8,1
6410,4,14,1
6450,4,10,2
6460,5,11,1
6461,6,19,1
6510,1,15,1
6510,4,10,1
6510,5,12,1
6511,3,1,1
6511,6,11,2
6514,0,5,1
6515,4,9,1
6604,4,13,1
6605,1,23,1
6605,3,2,1
6605,3,19,1
6605,3,23,1
6605,4,9,2
6605,5,14,1
6605,5,15,1
6605,5,22,1
6605,6,0,1
6606,4,8,2
6615,3,6,1
6807,1,11,1
6807,2,4,1
6807,2,7,1
6807,2,8,1
6807,2,15,2
6807,3,0,1
6807,3,7,1
6807,3,11,1
6807,3,18,1
6807,3,19,1
6807,3,20,1
6807,5,3,1
6807,6,12,1
6807,6,22,1
6820,0,14,2
6820,0,23,1
6820,1,14,1
6820,1,20,1
6820,1,21,1
6820,2,12,2
6820,2,20,1
6820,2,21,1
6820,3,9,1
6820,3,22,1
6820,4,8,1
6820,4,10,2
6820,5,10,1
6820,5,11,1
6820,5,17,1
6820,5,23,1
6820,6,0,1
6820,6,1,1
6820,6,11,2
6824,2,22,1
6824,3,9,1
6824,5,10,1
6824,5,11,2
6824,5,21,1
6825,0,14,1
6830,0,9,1
6830,0,13,1
6830,0,14,1
6830,0,17,2
6830,0,18,1
6830,0,20,1
6830,1,5,1
6830,1,8,1
6830,1,9,1
6830,1,11,1
6830,1,12,2
6830,1,13,2
6830,1,15,1
6830,1,20,2
6830,1,21,3
6830,1,23,1
6830,2,0,1
6830,2,7,1
6830,2,10,1
6830,2,11,2
6830,2,13,2
6830,2,16,1
6830,2,18,1
6830,2,19,4
6830,2,20,6
6830,2,21,4
6830,2,22,2
6830,3,2,1
6830,3,3,1
6830,3,6,1
6830,3,10,1
6830,3,13,1
6830,3,14,3
6830,3,15,1
6830,3,18,1
6830,3,19,1
6830,3,21,4
6830,3,22,2
6830,3,23,1
6830,4,7,1
6830,4,10,2
6830,4,17,4
6830,4,18,1
6830,4,19,1
6830,4,20,2
6830,4,21,1
6830,4,22,5
6830,4,23,2
6830,5,0,1
6830,5,4,1
6830,5,8,2
6830,5,9,1
6830,5,11,3
6830,5,12,1
6830,5,16,3
6830,5,17,1
6830,5,18,2
6830,5,20,1
6830,5,21,2
6830,5,22,4
6830,6,12,1
6830,6,13,1
6830,6,16,1
6831,2,12,2
6831,3,18,1
6831,4,20,1
6831,5,2,1
6831,5,17,1
6831,6,17,1
6840,2,12,1
6840,2,20,1
6840,3,8,1
6840,4,21,3
6840,5,19,1
6840,6,15,1
6850,4,11,2
6850,5,16,1
6851,0,21,2
6851,1,7,1
6851,1,16,2
6851,3,10,1
6851,3,11,1
6851,3,16,1
6851,4,6,1
6851,4,7,1
6851,5,16,1
6851,5,18,1
6853,0,13,1
6853,4,16,1
6854,2,8,1
6854,4,21,1
6854,5,1,1
6854,6,0,1
6855,1,18,2
6855,1,19,1
6855,1,22,2
6855,2,0,2
6855,2,22,1
6855,3,0,1
6855,3,20,1
6855,3,23,1
6855,4,13,1
6855,4,22,1
6855,4,23,1
6855,6,0,1
6855,6,13,1
6870,0,8,1
6870,0,11,1
6870,0,20,1
6870,0,23,2
6870,1,14,1
6870,1,20,1
6870,2,4,1
6870,2,11,2
6870,2,20,2
6870,3,13,1
6870,3,14,1
6870,3,18,1
6870,3,21,1
6870,3,22,1
6870,4,12,1
6870,4,13,1
6870,4,16,1
6870,4,22,1
6870,4,23,2
6870,5,9,1
6870,5,12,1
6870,5,22,2
6870,6,2,1
6870,6,6,1
6870,6,22,1
6878,0,22,1
6878,1,20,2
6878,1,21,2
6878,1,22,1
6878,2,18,1
6878,2,22,2
6878,3,2,1
6878,3,22,2
6878,3,23,1
6878,4,17,2
6878,5,17,1
6878,5,18,3
6878,5,23,1
6878,6,14,1
6878,6,15,1
6880,0,9,1
6880,2,12,1
6880,2,20,1
6880,4,19,3
6880,4,20,1
6880,4,23,2
6880,5,10,2
6880,5,11,1
6880,5,15,2
6880,5,16,1
6880,5,19,4
6880,5,20,1
6880,5,21,2
6883,2,7,1
6883,5,17,2
6890,1,7,1
6890,2,11,2
6890,2,21,1
6890,3,2,1
6890,3,20,1
6890,3,21,1
6890,3,22,1
6890,5,0,1
6890,5,10,1
6890,5,14,1
6890,5,18,1
6890,6,13,1
6897,1,12,1
6897,4,20,1
6897,5,5,1
6897,6,12,1
6901,0,10,1
6901,0,11,1
6901,0,13,1
6901,0,14,1
6901,0,19,1
6901,0,20,1
6901,0,21,1
6901,0,22,3
6901,0,23,1
6901,1,5,1
6901,1,11,2
6901,1,13,1
6901,1,20,2
6901,1,21,6
6901,1,22,2
