Zip,Weekday,Number of Trips
6450,4,1
6510,1,1
6514,0,1
6605,1,1
6605,3,1
6605,4,1
6615,3,1
6807,2,3
6807,3,2
6820,1,1
6820,2,1
6820,4,1
6820,5,2
6820,6,1
6824,5,1
6825,0,1
6830,0,1
6830,1,4
6830,2,2
6830,3,5
6830,4,5
6830,5,6
6830,6,1
6831,3,1
6831,5,1
6840,3,1
6840,4,1
6840,6,1
6851,1,1
6851,3,1
6851,4,1
6853,0,1
6854,2,1
6854,4,1
6854,6,1
6855,1,1
6855,2,1
6870,0,1
6870,1,1
6870,2,2
6870,3,2
6878,1,2
6878,4,1
6880,2,1
6880,4,2
6880,5,4
6890,1,1
6890,3,1
6890,5,1
6897,1,1
6901,0,2
6901,1,7
6901,2,6
6901,3,7
6901,4,6
6901,5,8
6901,6,2
6902,2,1
6902,5,2
6905,1,1
6905,2,2
6906,1,1
6906,5,1
7001,0,1
7001,1,3
7001,2,1
7001,6,1
7002,0,11
7002,1,14
7002,2,14
7002,3,20
7002,4,23
7002,5,27
7002,6,13
7003,0,8
7003,1,2
7003,2,1
7003,3,4
7003,4,2
7003,5,5
7003,6,1
7004,0,1
7004,1,4
7004,3,3
7004,4,3
7004,5,5
7004,6,2
7005,2,1
7005,5,1
7005,6,1
7006,0,1
7006,1,1
7006,2,1
7006,3,2
7006,4,2
7006,5,2
7006,6,2
7008,1,2
7008,4,2
7008,5,2
7008,6,1
7009,0,1
7009,1,1
7009,2,2
7009,3,5
7009,4,1
7009,5,3
7009,6,4
7010,0,8
7010,1,7
7010,2,4
7010,3,9
7010,4,6
7010,5,12
7010,6,5
7011,1,1
7011,2,1
7011,4,1
7011,5,1
7012,0,4
7012,1,5
7012,2,1
7012,3,4
7012,4,2
7012,5,4
7012,6,1
7013,0,1
7013,2,1
7013,3,1
7013,4,2
7013,5,2
7013,6,1
7014,0,3
7014,1,4
7014,2,4
7014,3,3
7014,4,2
7014,5,13
7014,6,7
7016,0,2
7016,1,3
7016,2,1
7016,3,1
7016,4,1
7016,5,5
7016,6,1
7017,0,2
7017,1,2
7017,2,1
7017,3,2
7017,4,4
7017,5,4
7018,0,4
7018,1,4
7018,2,3
7018,3,2
7018,4,1
7018,5,2
7018,6,2
7020,0,9
7020,1,8
7020,2,7
7020,3,9
7020,4,6
7020,5,7
7020,6,10
7021,0,1
7021,2,3
7021,3,1
7021,4,3
7021,5,4
7021,6,5
7022,0,6
7022,1,1
7022,2,4
7022,3,2
7022,4,7
7022,5,4
7022,6,6
7023,1,1
7023,2,1
7023,3,1
7023,4,1
7023,6,1
7024,0,22
7024,1,25
7024,2,19
7024,3,30
7024,4,25
7024,5,25
7024,6,21
7026,1,4
7026,2,3
7026,3,2
7026,4,4
7026,5,5
7027,1,1
7027,4,3
7027,5,3
7028,0,4
7028,1,2
7028,2,4
7028,3,4
7028,4,7
7028,5,4
7028,6,7
7029,0,2
7029,1,2
7029,2,5
7029,3,5
7029,4,4
7029,5,7
7029,6,2
7030,0,226
7030,1,260
7030,2,245
7030,3,281
7030,4,422
7030,5,666
7030,6,497
7031,0,1
7031,1,1
7031,2,2
7031,3,2
7031,4,1
7031,5,5
7031,6,1
7032,0,4
7032,1,3
7032,2,3
7032,3,3
7032,4,1
7032,5,1
7033,0,1
7033,1,1
7033,2,3
7033,3,2
7033,4,2
7033,5,1
7033,6,1
7034,5,1
7035,1,1
7035,3,1
7036,0,5
7036,1,4
7036,2,1
7036,3,2
7036,6,1
7039,0,1
7039,1,5
7039,2,5
7039,3,3
7039,4,7
7039,5,3
7039,6,3
7040,0,5
7040,1,8
7040,2,5
7040,3,7
7040,4,5
7040,5,6
7040,6,2
7041,0,4
7041,1,2
7041,2,4
7041,3,1
7041,4,3
7041,5,3
7042,0,2
7042,1,4
7042,2,6
7042,3,3
7042,4,12
7042,5,9
7042,6,4
7043,0,5
7043,1,2
7043,2,3
7043,3,4
7043,4,3
7043,5,6
7043,6,6
7044,0,2
7044,1,3
7044,3,2
7044,4,3
7044,5,7
7044,6,3
7045,0,1
7045,2,1
7045,4,1
