Zip,Weekday,Hour,Number of Trips
6514,0,5,1
6807,3,20,1
6830,0,13,1
6830,1,21,1
6830,3,13,1
6830,3,21,1
6830,5,20,1
6878,1,20,1
6901,0,10,1
6901,0,19,1
6901,0,22,1
6901,1,22,1
6901,2,22,1
6901,3,5,1
6901,4,15,1
6901,4,17,1
6902,5,14,1
6902,5,20,1
7001,1,20,1
7002,0,0,1
7002,0,13,1
7002,2,19,1
7002,3,18,1
7002,4,4,1
7002,4,10,1
7002,4,13,1
7002,4,16,2
7002,5,9,1
7002,5,10,1
7002,6,8,1
7002,6,11,1
7002,6,15,1
7003,1,21,1
7003,3,23,1
7004,2,7,1
7004,2,12,1
7006,1,11,1
7008,0,4,1
7008,1,12,1
7008,6,22,1
7009,3,10,1
7010,0,5,1
7010,1,12,1
7010,2,8,1
7010,2,14,1
7010,4,17,1
7010,5,20,1
7012,1,14,1
7012,2,19,1
7012,4,17,1
7013,0,0,1
7013,5,6,1
7014,1,12,1
7014,4,21,1
7014,4,23,1
7014,5,10,1
7016,5,7,1
7016,5,23,1
7016,6,0,1
7020,0,5,1
7020,0,9,1
7020,0,20,1
7020,1,6,1
7020,1,22,1
7020,2,12,1
7020,3,11,1
7020,3,14,1
7020,4,21,1
7020,5,17,1
7020,6,16,1
7020,6,17,1
7021,2,4,1
7022,4,2,1
7023,1,12,1
7023,5,23,1
7023,6,0,1
7024,0,6,1
7024,0,20,1
7024,0,22,1
7024,1,9,1
7024,1,13,1
7024,2,16,1
7024,3,3,1
7024,3,6,1
7024,3,16,1
7024,4,11,2
7024,4,14,1
7024,4,19,1
7024,5,11,1
7024,5,17,1
7024,5,21,1
7024,5,22,1
7024,6,0,1
7026,4,15,1
7028,0,3,1
7028,2,19,1
7028,3,5,1
7028,4,16,1
7029,3,3,1
7029,3,16,1
7029,3,20,1
7029,5,19,1
7029,6,12,1
7030,0,1,1
7030,0,3,1
7030,0,4,2
7030,0,6,1
7030,0,7,4
7030,0,8,1
7030,0,15,3
7030,0,17,1
7030,0,18,1
7030,0,20,2
7030,0,21,5
7030,1,4,1
7030,1,6,1
7030,1,7,3
7030,1,8,1
7030,1,18,4
7030,1,19,1
7030,1,20,3
7030,1,21,2
7030,1,22,2
7030,1,23,1
7030,2,3,1
7030,2,7,1
7030,2,9,1
7030,2,11,1
7030,2,17,2
7030,2,18,3
7030,2,19,3
7030,2,20,2
7030,2,21,2
7030,2,22,5
7030,2,23,1
7030,3,0,2
7030,3,3,1
7030,3,5,1
7030,3,6,2
7030,3,7,1
7030,3,8,1
7030,3,10,1
7030,3,11,1
7030,3,12,2
7030,3,13,1
7030,3,14,1
7030,3,15,2
7030,3,18,1
7030,3,19,1
7030,3,20,3
7030,3,21,6
7030,3,22,4
7030,3,23,2
7030,4,0,3
7030,4,1,2
7030,4,2,1
7030,4,3,2
7030,4,6,1
7030,4,7,2
7030,4,9,1
7030,4,10,2
7030,4,12,1
7030,4,14,3
7030,4,15,1
7030,4,16,1
7030,4,17,2
7030,4,18,6
7030,4,20,1
7030,4,21,6
7030,4,22,8
7030,4,23,3
7030,5,0,4
7030,5,1,5
7030,5,6,1
7030,5,7,1
7030,5,8,3
7030,5,9,1
7030,5,10,1
7030,5,11,3
7030,5,12,1
7030,5,13,1
7030,5,14,3
7030,5,15,5
7030,5,16,4
7030,5,17,3
7030,5,18,5
7030,5,19,5
7030,5,20,2
7030,5,21,3
7030,5,22,9
7030,5,23,5
7030,6,0,10
7030,6,1,5
7030,6,3,1
7030,6,4,2
7030,6,5,1
7030,6,8,2
7030,6,9,1
7030,6,10,3
7030,6,11,2
7030,6,12,2
7030,6,13,2
7030,6,14,2
7030,6,15,5
7030,6,16,4
7030,6,17,1
7030,6,18,3
7030,6,19,2
7030,6,20,6
7030,6,21,1
7030,6,22,3
7030,6,23,3
7031,5,16,1
7033,4,21,1
7039,0,19,1
7039,2,23,1
7039,3,9,1
7039,5,21,1
7039,6,12,1
7040,2,3,1
7040,4,4,1
7040,6,14,1
7042,0,5,1
7042,1,16,1
7042,2,22,1
7042,5,16,1
7042,5,21,1
7042,5,23,1
7043,1,3,1
7043,1,13,1
7043,1,16,1
7043,3,21,1
7044,6,14,1
7045,3,7,1
7046,0,12,1
7046,2,18,1
7047,0,5,1
7047,0,14,1
7047,1,4,1
7047,2,4,1
7047,2,19,1
7047,5,16,1
7047,6,2,1
7047,6,8,1
7050,1,4,1
7050,2,10,1
7050,2,21,1
7052,0,7,1
7052,0,13,1
7052,1,3,1
7052,1,19,1
7052,2,18,1
7052,3,18,1
7052,5,23,1
7052,6,19,1
7058,5,21,1
7062,1,3,1
7065,0,6,1
7066,3,19,1
7068,1,4,1
7068,3,16,1
7068,3,18,1
7069,0,9,1
7070,2,13,1
7070,2,16,1
7070,3,9,1
7070,3,10,1
7070,4,22,1
7070,5,16,1
7072,0,21,1
7072,1,21,1
7072,2,8,1
7072,2,13,2
7072,2,16,1
7072,3,10,1
7072,3,14,1
7072,3,16,1
7072,4,22,2
7072,5,1,1
7072,5,21,2
7072,5,22,1
7072,6,9,1
7072,6,14,1
7072,6,15,1
7072,6,22,1
7072,6,23,1
7073,0,11,1
7073,4,13,1
7073,5,15,1
7074,0,11,1
7075,0,10,1
7075,4,16,1
7075,6,0,1
7075,6,9,1
7078,1,17,1
7078,2,20,1
7078,2,21,1
7078,4,17,1
7078,4,22,1
7078,5,1,1
7078,5,15,1
7079,2,21,2
7079,4,4,1
7079,4,13,1
7079,6,21,1
7080,2,11,1
7081,3,20,1
7081,4,22,1
7081,5,15,1
7083,0,0,1
7083,4,23,1
7083,5,2,1
7086,0,10,1
7086,0,12,1
7086,0,16,1
7086,0,17,1
7086,1,21,1
7086,2,5,1
7086,3,2,1
7086,3,10,1
7086,3,19,1
7086,4,0,1
7086,4,14,1
7086,4,20,1
7086,4,22,1
7086,5,14,2
7086,5,16,1
7086,5,21,1
7086,6,0,1
7086,6,4,1
7086,6,13,1
7086,6,15,1
7087,1,2,1
7087,1,5,1
7087,1,15,1
7087,2,4,2
7087,2,15,1
7087,3,0,1
7087,3,3,1
7087,3,20,1
7087,3,22,1
7087,4,5,1
7087,4,9,1
7087,4,21,1
7087,5,3,1
7087,5,16,1
7087,5,17,2
7087,5,18,1
7087,6,3,1
7087,6,11,1
7087,6,12,1
7087,6,16,1
7087,6,19,1
7088,0,11,1
7088,5,19,1
7090,1,8,1
7090,1,12,1
7093,0,4,1
7093,0,7,1
7093,1,3,1
7093,2,21,1
7093,3,18,1
7093,4,18,2
7093,4,20,1
7093,5,6,1
7093,5,9,1
7093,5,10,1
7093,5,18,1
7093,5,19,1
7093,5,22,2
7093,5,23,1
7093,6,9,1
7093,6,13,1
7093,6,17,1
7093,6,21,1
7093,6,22,1
7094,0,6,1
7094,0,14,1
7094,0,18,1
7094,1,0,1
7094,1,13,1
7094,1,14,1
7094,1,20,1
7094,1,21,1
7094,1,22,1
7094,2,12,1
7094,2,13,2
7094,2,14,1
7094,2,17,1
7094,2,21,1
7094,3,18,1
7094,4,5,1
7094,4,12,1
7094,4,22,1
7094,5,4,1
7094,5,9,1
7094,6,9,1
7094,6,14,1
7095,3,19,1
7102,0,6,2
7102,0,7,1
7102,0,16,1
7102,0,19,1
7102,0,23,1
7102,1,6,1
7102,1,9,2
7102,1,11,1
7102,1,12,1
7102,1,17,2
7102,1,19,2
7102,2,3,1
7102,2,11,1
7102,2,12,1
7102,2,16,2
7102,2,20,1
7102,3,10,1
7102,3,11,1
7102,3,12,1
7102,3,13,1
7102,3,14,3
7102,3,16,1
7102,3,17,1
7102,3,19,1
7102,3,20,1
7102,4,4,1
7102,4,12,1
7102,4,15,1
7102,4,19,1
7102,5,0,1
7102,5,7,1
7102,5,16,1
7102,5,17,1
7102,6,2,1
7102,6,20,1
7102,6,21,2
7103,2,10,1
7103,2,13,1
7104,4,20,1
7105,3,20,1
7105,4,7,1
7105,4,16,1
7105,5,1,1
7105,5,14,1
7106,2,18,1
7106,3,6,1
7106,3,10,1
7106,5,16,1
7106,5,21,1
7108,0,9,1
7110,4,16,1
7110,5,23,1
7110,6,16,1
7110,6,22,1
7111,0,21,1
7111,3,16,1
7111,4,0,1
7111,4,16,1
7112,0,18,1
7112,3,0,1
7114,0,0,4
7114,0,4,4
7114,0,5,5
7114,0,6,6
7114,0,7,5
7114,0,8,6
7114,0,9,6
7114,0,10,3
7114,0,11,6
7114,0,12,5
7114,0,13,8
7114,0,14,8
7114,0,15,6
7114,0,16,7
7114,0,17,6
7114,0,18,5
7114,0,19,9
7114,0,20,7
7114,0,21,8
7114,0,22,8
7114,0,23,8
7114,1,0,2
7114,1,1,2
7114,1,3,1
7114,1,4,1
7114,1,5,4
7114,1,6,3
7114,1,7,4
7114,1,8,4
7114,1,9,5
7114,1,10,6
7114,1,11,5
7114,1,12,7
7114,1,13,4
7114,1,14,9
7114,1,15,8
7114,1,16,10
7114,1,17,4
7114,1,18,8
7114,1,19,8
7114,1,20,4
7114,1,21,4
7114,1,22,4
7114,1,23,5
7114,2,0,3
7114,2,1,1
7114,2,4,1
7114,2,5,1
7114,2,6,1
7114,2,7,6
7114,2,8,2
7114,2,9,1
7114,2,10,3
7114,2,11,7
7114,2,12,4
7114,2,13,9
7114,2,14,5
7114,2,15,10
7114,2,16,5
7114,2,17,4
7114,2,18,6
7114,2,19,4
7114,2,20,1
7114,2,21,10
7114,2,22,6
7114,2,23,6
7114,3,0,5
7114,3,1,4
7114,3,2,1
7114,3,5,4
7114,3,7,1
7114,3,8,2
7114,3,9,2
7114,3,10,5
7114,3,11,5
7114,3,12,2
7114,3,13,2
7114,3,14,9
7114,3,15,9
7114,3,16,7
7114,3,17,10
7114,3,18,6
7114,3,19,11
7114,3,20,6
7114,3,21,9
7114,3,22,4
7114,3,23,6
7114,4,0,5
7114,4,1,2
7114,4,2,1
7114,4,3,1
7114,4,4,2
7114,4,5,3
7114,4,6,2
7114,4,7,3
7114,4,8,2
7114,4,9,2
7114,4,10,3
7114,4,11,7
7114,4,12,3
7114,4,13,7
7114,4,14,4
7114,4,15,9
7114,4,16,5
7114,4,17,6
7114,4,18,8
7114,4,19,3
7114,4,20,5
7114,4,21,6
7114,4,22,7
7114,4,23,6
7114,5,0,1
7114,5,1,1
7114,5,4,5
7114,5,5,2
7114,5,6,1
7114,5,10,1
7114,5,11,3
7114,5,12,5
7114,5,13,5
7114,5,14,3
7114,5,15,4
7114,5,16,3
7114,5,17,2
7114,5,18,2
7114,5,19,3
