Zip,Hour,Number of Trips
6830,8,1
7004,4,1
7010,16,1
7010,18,1
7020,23,1
7022,11,1
7029,21,1
7030,0,1
7030,4,1
7030,6,3
7030,11,1
7030,12,1
7030,17,2
7030,18,3
7030,19,3
7030,21,2
7030,22,3
7030,23,4
7047,6,1
7059,13,1
7072,6,1
7072,15,1
7072,20,1
7078,11,1
7087,3,1
7087,11,1
7087,14,1
7087,17,1
7090,4,1
7090,9,1
7093,0,1
7093,4,1
7094,14,1
7094,20,1
7095,9,1
7102,7,1
7102,8,1
7102,9,1
7102,14,1
7102,15,1
7102,16,1
7102,21,1
7103,14,1
7104,16,1
7108,15,1
7109,11,1
7110,11,1
7114,0,3
7114,1,1
7114,4,2
7114,5,2
7114,6,4
7114,7,2
7114,8,1
7114,9,1
7114,11,2
7114,12,1
7114,13,6
7114,14,1
7114,15,8
7114,16,7
7114,17,2
7114,18,11
7114,19,4
7114,20,2
7114,21,4
7114,22,3
7114,23,2
7302,1,1
7302,3,2
7302,5,1
7302,7,2
7302,10,1
7302,17,2
7302,20,1
7302,21,2
7304,5,1
7304,12,1
7306,8,1
7306,10,1
7306,23,1
7307,3,1
7307,4,1
7307,19,1
7310,0,1
7310,1,1
7310,2,2
7310,3,1
7310,4,1
7310,6,2
7310,10,1
7310,11,2
7310,12,1
7310,13,1
7310,14,2
7310,15,1
7310,17,2
7310,19,1
7310,20,1
7310,21,1
7310,22,3
7310,23,1
7311,0,1
7311,3,1
7311,10,1
7311,14,1
7311,15,1
7311,21,2
7311,22,2
7311,23,1
7424,23,1
7458,11,1
7495,10,1
7604,13,1
7631,19,1
7632,5,1
7646,19,1
7662,20,1
7666,7,1
7670,14,1
7716,13,1
7801,12,1
7936,23,1
7950,12,1
7974,4,1
8824,8,1
8873,14,1
10001,0,13
10001,1,8
10001,2,2
10001,3,2
10001,4,4
10001,5,6
10001,6,8
10001,7,10
10001,8,12
10001,9,14
10001,10,15
10001,11,21
10001,12,15
10001,13,21
10001,14,26
10001,15,36
10001,16,36
10001,17,36
10001,18,38
10001,19,21
10001,20,28
10001,21,29
10001,22,24
10001,23,15
10002,0,20
10002,1,12
10002,2,9
10002,3,5
10002,4,4
10002,5,13
10002,6,11
10002,7,13
10002,8,17
10002,9,14
10002,10,12
10002,11,7
10002,12,8
10002,13,7
10002,14,12
10002,15,19
10002,16,15
10002,17,22
10002,18,17
10002,19,23
10002,20,24
10002,21,29
10002,22,17
10002,23,23
10003,0,11
10003,1,8
10003,2,2
10003,3,9
10003,4,9
10003,5,7
10003,6,15
10003,7,16
