Zip,Number of Trips
6901,1
7024,1
7030,1
7094,1
7102,1
7114,11
7302,1
7304,1
7306,1
7310,1
8869,1
10001,28
10002,37
10003,45
10005,9
10006,8
10007,7
10009,25
10011,55
10012,58
10013,31
10014,27
10016,11
10017,22
10018,35
10019,20
10020,12
10021,22
10022,10
10023,14
10025,3
10028,21
10029,4
10030,2
10031,2
10032,3
10034,2
10035,1
10037,1
10038,3
10039,3
10044,5
10065,23
10069,5
10103,18
10110,37
10111,2
10112,5
10115,1
10119,12
10152,7
10153,23
10154,8
10162,14
10167,9
10171,8
10199,19
10271,8
10278,10
10280,4
10282,9
10451,1
10452,1
10456,1
10458,1
10468,1
10471,1
10580,2
10603,1
11001,1
11101,3
11102,2
11103,1
11104,2
11105,3
11106,4
11109,1
11201,11
11205,7
11206,4
11209,1
11210,1
11211,37
11213,2
11215,12
11216,2
11217,13
11218,1
11219,1
11220,2
11221,2
11222,14
11224,2
11225,3
11226,2
11230,2
11231,13
11233,1
11235,2
11237,5
11238,7
11351,1
11367,1
11369,1
11370,1
11371,19
11372,3
11373,1
11377,1
11378,1
11385,2
11413,1
11422,21
11434,1
11514,1
11566,1
11572,1
11801,1
