Zip,Weekday,Hour,Number of Trips
6901,0,22,1
7024,1,16,1
7030,1,21,1
7094,4,22,1
7102,4,0,1
7114,0,17,2
7114,1,15,1
7114,2,13,1
7114,3,19,1
7114,3,22,1
7114,4,19,1
7114,5,16,1
7114,5,19,1
7114,6,10,1
7114,6,14,1
7302,3,18,1
7304,3,6,1
7306,1,21,1
7310,2,15,1
8869,0,7,1
10001,0,7,1
10001,0,9,1
10001,1,14,1
10001,1,16,1
10001,1,17,2
10001,1,18,1
10001,2,13,1
10001,2,16,1
10001,3,1,1
10001,3,15,1
10001,3,20,1
10001,4,7,1
10001,4,16,1
10001,4,17,1
10001,4,19,1
10001,4,23,1
10001,5,0,1
10001,5,13,1
10001,5,14,1
10001,5,15,1
10001,5,16,1
10001,5,17,1
10001,5,19,1
10001,6,0,1
10001,6,10,1
10001,6,16,1
10001,6,20,1
10002,0,7,1
10002,0,14,1
10002,0,22,1
10002,1,10,1
10002,1,21,1
10002,1,22,1
10002,2,7,1
10002,2,9,1
10002,2,22,1
10002,3,22,2
10002,3,23,1
10002,4,0,1
10002,4,2,1
10002,4,8,1
10002,4,9,1
10002,4,11,1
10002,4,14,1
10002,4,18,1
10002,4,21,2
10002,4,22,2
10002,5,5,1
10002,5,7,1
10002,5,12,1
10002,5,18,1
10002,5,22,2
10002,6,0,1
10002,6,1,1
10002,6,2,2
10002,6,11,1
10002,6,15,1
10002,6,16,1
10002,6,17,1
10003,0,5,1
10003,0,19,1
10003,0,22,1
10003,1,10,1
10003,1,12,1
10003,1,13,1
10003,1,15,1
10003,1,16,2
10003,1,19,2
10003,1,20,1
10003,1,22,2
10003,2,8,1
10003,2,12,1
10003,2,15,1
10003,2,16,1
10003,2,17,1
10003,2,18,1
10003,2,20,1
10003,2,23,1
10003,3,6,1
10003,3,7,1
10003,3,9,1
10003,3,16,1
10003,3,18,1
10003,3,21,1
10003,4,16,1
10003,4,18,3
10003,4,19,1
10003,4,20,2
10003,4,22,2
10003,5,1,1
10003,5,3,1
10003,5,12,1
10003,5,19,1
10003,5,22,2
10003,6,1,1
10003,6,19,1
10005,1,11,1
10005,2,21,1
10005,2,22,1
10005,3,16,1
10005,3,20,1
10005,3,21,1
10005,4,11,1
10005,5,15,1
10005,6,19,1
10006,1,18,1
10006,2,9,1
10006,2,11,1
10006,2,12,1
10006,2,19,1
10006,4,21,1
