Zip,Weekday,Number of Trips
7030,6,1
7102,1,1
7114,2,3
7114,3,4
7114,4,1
7114,5,2
7114,6,2
7302,4,1
7306,5,2
7306,6,1
7310,3,1
7310,4,1
7310,6,1
7311,1,1
10001,0,5
10001,1,6
10001,2,7
10001,3,6
10001,4,6
10001,5,2
10001,6,2
10002,0,3
10002,1,3
10002,2,9
10002,3,6
10002,4,9
10002,5,7
10002,6,3
10003,0,2
10003,1,5
10003,2,5
10003,3,3
10003,4,8
10003,5,5
10003,6,3
10005,0,1
10005,2,2
10005,3,1
10005,4,3
10005,5,2
10006,1,3
10006,2,1
10006,3,1
10007,0,1
10007,1,1
10007,2,1
10007,3,2
10007,4,1
10007,5,3
10009,0,2
10009,1,3
10009,2,11
10009,3,1
10009,4,6
10009,5,4
10009,6,1
10011,0,6
10011,1,7
10011,2,8
10011,3,10
10011,4,9
10011,5,11
10011,6,5
10012,0,10
10012,1,13
10012,2,4
10012,3,12
10012,4,11
10012,5,11
10012,6,2
10013,0,2
10013,1,3
10013,2,2
10013,3,3
10013,4,3
10013,5,8
10013,6,1
10014,1,6
10014,2,4
10014,3,8
10014,4,3
10014,5,7
10014,6,3
10016,0,1
10016,2,2
10016,3,5
10016,4,2
10016,5,1
10017,1,4
10017,2,5
10017,3,4
10017,4,7
10017,5,3
10017,6,1
10018,0,3
10018,1,7
10018,2,6
10018,3,5
10018,4,6
10018,5,4
10018,6,2
10019,0,2
10019,1,2
10019,2,4
10019,3,4
10019,4,1
10019,5,3
10019,6,2
10020,0,2
10020,1,3
10020,2,1
10020,3,3
10020,4,3
10021,0,4
10021,2,4
10021,3,6
10021,4,1
10021,5,6
10021,6,2
10022,0,3
10022,1,4
10022,2,4
10022,3,5
10022,4,3
10022,5,3
10022,6,1
10023,0,2
10023,1,4
10023,2,3
10023,3,2
10023,4,4
10023,6,1
10025,0,1
10025,1,1
10025,2,2
10025,4,2
10025,6,3
10026,6,1
10027,1,1
10027,5,2
10028,0,1
10028,1,4
10028,2,4
10028,3,2
10028,4,6
10028,5,4
10028,6,1
10029,0,3
10029,3,1
10029,4,1
10029,5,1
10030,1,1
10031,6,1
10034,2,1
10034,6,1
10035,0,1
10037,2,1
10038,0,1
10038,1,1
10038,2,1
10038,5,2
10038,6,1
10039,5,1
10044,0,3
10044,2,1
10044,3,2
10044,4,1
10044,5,2
10065,0,4
10065,1,1
10065,2,6
10065,3,3
10065,4,4
10065,5,3
10065,6,1
10069,1,1
10069,6,1
10103,0,2
10103,1,4
10103,2,2
10103,3,4
10103,4,2
10103,5,3
10103,6,2
10110,0,3
10110,1,8
10110,2,2
10110,3,6
10110,4,4
10110,5,3
10111,0,2
10111,1,1
10111,2,2
10111,3,3
10111,4,1
10112,2,1
10112,3,1
10112,4,1
10115,6,1
10119,1,3
10119,2,3
10119,3,6
10119,4,2
10119,5,2
10119,6,1
10152,1,3
10152,2,1
10152,3,2
10152,4,1
10153,0,3
10153,1,1
10153,2,5
10153,3,3
10153,4,5
10153,5,3
10154,0,1
10154,4,2
10154,5,2
10162,1,3
10162,2,1
10162,3,1
10162,5,1
10162,6,2
10167,0,2
10167,1,1
10167,2,3
10167,4,3
10171,0,1
10171,2,1
10171,3,2
10171,4,1
10171,5,1
10199,1,5
10199,2,3
10199,3,4
10199,4,2
10199,5,2
10199,6,3
10271,1,2
10271,2,1
10271,3,2
10271,4,1
10278,0,2
10278,2,1
10278,4,3
10278,5,1
10278,6,2
10280,1,1
10282,0,2
10282,1,1
10282,2,3
10282,3,2
10282,4,1
10282,5,1
10458,2,1
10468,1,1
10469,0,1
10469,6,1
10473,2,1
10552,1,1
11003,5,1
11030,6,1
11101,0,1
11101,2,1
11101,3,1
11101,4,3
11101,5,1
11102,2,1
11102,5,1
11103,5,2
11103,6,1
11104,5,1
11105,5,1
11106,0,1
11106,4,1
11106,5,1
11109,1,1
11109,4,2
11109,5,1
11201,0,1
11201,1,5
11201,2,3
11201,3,2
11201,4,3
11201,5,2
11201,6,3
11203,4,1
11205,1,2
11205,3,2
11205,4,1
11205,5,2
11205,6,1
11206,2,1
11206,5,1
11206,6,1
11207,2,1
11209,0,1
11209,3,1
11209,6,1
11210,0,1
11210,1,1
11210,3,1
11211,0,3
11211,1,2
11211,2,2
11211,3,1
11211,4,1
11211,5,7
11211,6,2
11213,4,1
11215,0,3
11215,2,3
11215,3,1
11215,5,2
11216,2,1
11216,6,1
11217,0,2
11217,1,1
11217,2,4
11217,3,1
11217,4,3
11217,5,2
11217,6,1
11218,2,1
11218,4,1
11218,5,3
11219,4,1
11219,5,1
11220,1,1
11220,5,1
11221,5,1
11222,1,2
11222,2,1
11222,4,3
11222,5,2
11222,6,3
11223,5,1
11226,6,1
11229,2,1
11231,1,1
11231,2,1
11231,3,2
11231,4,1
11231,5,2
11231,6,1
11233,0,1
11233,1,1
11233,2,1
11233,4,1
11233,6,1
11236,6,1
11237,3,1
11237,4,1
11237,5,1
11237,6,2
11238,0,1
11238,1,1
11238,3,2
11238,5,3
11238,6,2
11239,6,1
11357,4,1
11368,0,1
11370,4,1
11370,6,2
11371,0,5
11371,1,3
11371,2,3
11371,3,4
11371,4,6
11371,5,1
11371,6,2
11373,5,1
11374,0,1
11374,6,1
11377,3,1
11377,6,1
11378,0,1
11415,5,1
11416,4,1
11418,2,1
11421,2,1
11421,3,1
11422,0,6
11422,1,3
11422,2,2
11422,3,3
11422,4,3
11422,5,1
11422,6,2
11432,6,1
11435,4,1
11436,5,1
11703,4,1
