Zip,Weekday,Hour,Number of Trips
6850,4,11,1
7002,4,9,1
7030,0,22,1
7030,3,12,1
7030,3,21,1
7030,3,22,1
7030,4,18,1
7030,5,1,1
7030,5,22,2
7102,1,21,1
7102,2,18,1
7110,4,8,1
7114,1,6,1
7114,1,21,2
7114,1,23,1
7114,3,13,1
7114,3,16,1
7114,4,13,1
7114,5,6,1
7114,5,11,1
7114,5,16,1
7114,6,15,1
7302,0,10,1
7302,0,14,1
7302,1,14,1
7302,5,14,1
7310,1,14,1
7310,4,10,1
7310,6,13,1
7311,2,7,1
7311,6,1,1
10001,0,7,1
10001,0,17,1
10001,0,19,1
10001,0,20,1
10001,1,7,3
10001,1,12,1
10001,1,13,1
10001,1,14,1
10001,1,15,1
10001,1,16,1
10001,1,17,1
10001,1,19,1
10001,2,2,1
10001,2,6,1
10001,2,15,1
10001,2,18,1
10001,2,19,2
10001,2,20,1
10001,2,22,1
10001,3,14,1
10001,3,16,1
10001,3,17,2
10001,3,20,4
10001,3,22,1
10001,4,2,1
10001,4,5,1
10001,4,8,1
10001,4,13,1
10001,4,17,1
10001,4,19,1
10001,4,21,1
10001,4,23,2
10001,5,0,1
10001,5,18,1
10001,5,22,2
10001,6,2,1
10001,6,13,1
10001,6,17,1
10001,6,19,1
10002,0,4,1
10002,0,15,1
10002,0,17,1
10002,0,22,1
10002,1,2,1
10002,1,16,1
10002,1,18,1
10002,2,4,1
10002,2,8,1
10002,2,10,1
10002,2,13,1
10002,2,15,1
10002,2,18,3
10002,3,7,1
10002,3,14,1
10002,3,21,2
10002,4,0,1
10002,4,5,1
10002,4,8,1
10002,4,19,1
10002,4,23,1
10002,5,11,1
10002,5,16,1
10002,5,19,1
10002,5,21,2
10002,5,22,2
10002,6,0,2
10002,6,1,2
10002,6,3,1
10003,0,8,2
10003,0,9,1
10003,0,13,1
10003,0,16,1
10003,0,19,1
10003,0,21,1
10003,1,5,1
10003,1,19,1
10003,1,23,1
10003,2,6,1
10003,2,7,1
10003,2,8,2
10003,2,9,1
10003,2,10,1
10003,2,11,1
10003,2,12,1
10003,2,18,1
10003,2,19,1
10003,2,21,2
10003,2,22,1
10003,3,5,1
10003,3,7,1
10003,3,8,1
10003,3,9,1
10003,3,14,2
10003,3,17,1
10003,3,18,1
10003,3,20,1
10003,3,21,1
10003,4,5,1
10003,4,8,1
10003,4,10,1
10003,4,11,1
10003,4,15,1
10003,4,17,1
10003,4,18,2
10003,4,20,1
10003,4,21,1
10003,4,23,1
10003,5,7,1
10003,5,16,1
10003,5,17,1
10003,5,21,2
10003,6,0,1
10003,6,16,1
10005,0,20,1
10005,1,14,1
10005,2,11,1
10005,2,15,1
10005,3,15,1
10005,5,14,1
10006,0,18,1
10006,2,17,1
10006,6,22,1
10007,2,20,1
10007,3,13,1
10007,3,15,1
10007,3,17,1
10007,3,18,1
10007,4,19,1
10007,5,14,1
10007,5,20,1
10007,6,9,1
10009,0,20,1
10009,0,21,1
10009,1,21,1
10009,2,9,1
10009,2,13,1
10009,2,14,1
10009,2,18,2
10009,4,8,1
10009,4,9,2
10009,5,8,1
10009,5,12,1
10009,5,14,1
10009,5,18,1
10009,5,21,1
10009,5,22,1
10009,6,1,1
10009,6,2,1
10009,6,10,1
10011,0,0,1
10011,0,7,1
10011,0,9,2
10011,0,10,1
10011,0,11,1
10011,0,14,1
10011,0,16,1
10011,0,19,1
10011,0,23,1
10011,1,8,1
10011,1,10,2
10011,1,18,1
10011,1,19,1
10011,1,20,2
10011,1,22,1
10011,1,23,1
10011,2,0,1
10011,2,6,1
10011,2,8,1
10011,2,12,1
10011,2,14,1
10011,2,15,1
10011,2,16,1
10011,2,18,1
10011,2,20,2
10011,2,21,2
10011,3,2,1
10011,3,7,1
10011,3,8,2
10011,3,10,1
10011,3,18,2
10011,3,19,1
10011,3,20,1
10011,3,21,2
10011,3,22,2
10011,4,6,1
10011,4,8,1
10011,4,12,1
10011,4,15,1
10011,4,16,1
10011,4,17,1
10011,4,19,1
10011,4,22,1
10011,5,7,1
10011,5,10,1
10011,5,13,1
10011,5,15,2
10011,5,17,2
10011,5,19,1
10011,5,23,1
10011,6,0,1
10011,6,4,1
10011,6,9,2
10011,6,10,1
10011,6,17,1
10012,0,6,1
10012,0,7,1
10012,0,8,1
10012,0,11,1
10012,0,14,2
10012,0,17,1
10012,0,19,1
10012,0,21,1
10012,1,15,2
10012,1,17,2
10012,1,20,1
10012,2,14,2
10012,2,15,1
10012,2,17,2
10012,2,19,1
10012,2,23,1
10012,3,2,1
10012,3,7,1
10012,3,9,1
10012,3,13,1
10012,3,19,1
10012,3,21,1
10012,3,22,1
10012,4,8,1
10012,4,11,1
10012,4,18,1
10012,4,19,1
10012,4,22,1
