Zip,Weekday,Number of Trips
1566,6,1
6460,5,1
6605,3,1
6807,3,1
6820,2,1
6820,6,1
6824,5,2
6830,1,3
6830,2,1
6830,3,1
6830,4,3
6830,5,3
6851,0,1
6851,1,1
6851,3,1
6855,3,1
6870,0,1
6878,3,1
6878,4,1
6880,2,1
6880,4,2
6890,1,1
6890,5,1
6890,6,1
6901,1,2
6901,2,6
6901,3,1
6901,4,2
6901,5,5
6901,6,2
6902,0,1
6902,1,1
6902,5,3
6905,1,1
6905,3,1
6906,0,1
7001,2,1
7001,3,1
7002,0,11
7002,1,4
7002,2,5
7002,3,6
7002,4,8
7002,5,15
7002,6,6
7003,0,2
7003,1,1
7003,2,2
7003,3,4
7003,4,1
7003,5,5
7003,6,2
7004,0,1
7004,1,1
7004,3,1
7004,5,4
7004,6,2
7005,6,1
7006,2,1
7006,4,1
7008,4,1
7008,5,2
7008,6,1
7009,3,2
7009,4,1
7009,5,4
7009,6,2
7010,0,4
7010,1,1
7010,2,1
7010,3,5
7010,4,4
7010,5,8
7010,6,10
7011,5,1
7012,0,1
7012,2,2
7012,3,5
7012,5,1
7013,1,1
7013,2,1
7013,4,2
7013,6,1
7014,0,1
7014,1,4
7014,2,2
7014,3,2
7014,4,1
7014,5,2
7014,6,3
7016,0,1
7016,2,1
7016,3,2
7016,4,1
7017,0,2
7017,1,1
7017,2,1
7017,4,1
7017,5,2
7018,1,2
7018,2,1
7018,5,2
7020,0,8
7020,1,5
7020,2,5
7020,3,4
7020,4,3
7020,5,4
7020,6,7
7021,1,1
7021,2,1
7021,4,5
7022,0,1
7022,1,3
7022,2,2
7022,3,2
7022,4,1
7022,5,5
7022,6,5
7023,1,1
7023,2,2
7023,4,1
7023,5,1
7024,0,13
7024,1,9
7024,2,9
7024,3,13
7024,4,9
7024,5,12
7024,6,13
7026,0,1
7026,1,3
7026,2,2
7026,4,2
7026,5,4
7026,6,1
7027,1,1
7027,5,1
7028,0,1
7028,1,2
7028,3,4
7028,4,3
7028,5,5
7028,6,2
7029,1,1
7029,2,3
7029,3,1
7029,4,2
7029,5,3
7029,6,2
7030,0,120
7030,1,133
7030,2,139
7030,3,153
7030,4,198
7030,5,320
7030,6,237
7031,2,3
7031,5,3
7031,6,2
7032,0,1
7032,2,1
7032,4,1
7033,0,1
7033,1,1
7033,3,3
7033,4,2
7033,5,1
7036,0,2
7036,1,2
7039,0,3
7039,2,3
7039,3,3
7039,4,6
7039,5,2
7039,6,2
7040,0,5
7040,1,5
7040,3,2
7040,4,2
7040,5,2
7041,0,2
7041,1,1
7041,2,1
7041,3,2
7041,4,3
7041,5,1
7042,0,3
7042,1,1
7042,2,3
7042,3,3
7042,4,3
7042,5,14
7042,6,2
7043,0,2
7043,1,2
7043,2,1
7043,3,3
7043,4,1
7043,5,7
7043,6,6
7044,1,3
7044,2,1
7044,4,1
7044,5,3
7044,6,1
7045,4,1
7045,5,1
7045,6,1
7046,0,2
7046,1,1
7046,3,2
7046,4,2
7047,0,2
7047,1,3
7047,2,1
7047,3,6
7047,4,4
7047,5,4
7047,6,5
7050,1,4
7050,2,2
7050,3,2
7050,4,2
7050,6,3
7052,0,1
7052,2,2
7052,3,1
7052,4,4
7052,5,12
7052,6,1
7054,0,1
7054,1,2
7054,2,2
7054,3,1
7054,5,1
7054,6,1
7055,1,3
7055,3,1
7055,4,2
7055,5,1
7057,0,1
7057,3,1
7057,5,1
7058,1,1
7058,3,1
7058,6,1
7060,2,1
7063,2,1
7063,5,1
7065,0,2
7065,1,1
7065,2,1
7065,3,2
7065,5,1
7065,6,3
7066,0,1
7066,2,3
7066,5,1
7067,0,1
7067,5,1
7067,6,1
7068,0,2
7068,1,3
7068,2,1
7068,3,2
7068,4,1
7069,0,1
7069,3,1
7069,5,1
7070,0,5
7070,1,3
7070,2,9
7070,3,6
7070,4,5
