Zip,Hour,Number of Trips
1566,8,1
6460,11,1
6605,19,1
6807,11,1
6820,11,1
6820,20,1
6824,10,1
6824,11,1
6830,9,1
6830,10,1
6830,13,2
6830,17,1
6830,19,1
6830,21,2
6830,22,2
6830,23,1
6851,7,1
6851,10,1
6851,21,1
6855,20,1
6870,23,1
6878,17,1
6878,23,1
6880,12,1
6880,20,1
6880,23,1
6890,7,1
6890,13,1
6890,18,1
6901,6,1
6901,7,1
6901,11,1
6901,12,1
6901,13,2
6901,14,1
6901,15,1
6901,16,2
6901,17,1
6901,18,1
6901,19,1
6901,20,3
6901,21,2
6902,9,1
6902,13,1
6902,20,1
6902,21,1
6902,23,1
6905,11,1
6905,12,1
6906,22,1
7001,11,1
7001,18,1
7002,2,1
7002,3,1
7002,4,1
7002,5,1
7002,6,1
7002,7,1
7002,8,5
7002,9,5
7002,10,5
7002,11,3
7002,12,7
7002,13,1
7002,14,4
7002,15,1
7002,16,4
7002,17,7
7002,18,1
7002,19,3
7002,20,1
7002,22,1
7002,23,1
7003,1,1
7003,4,1
7003,5,1
7003,7,3
7003,8,1
7003,10,3
7003,11,1
7003,14,1
7003,16,1
7003,18,1
7003,20,2
7003,21,1
7004,0,1
7004,1,1
7004,4,1
7004,7,1
7004,15,1
7004,17,1
7004,19,1
7004,21,1
7004,22,1
7005,16,1
7006,5,1
7006,15,1
7008,9,1
7008,11,1
7008,17,1
7008,21,1
7009,3,1
7009,5,1
7009,9,1
7009,13,1
7009,16,1
7009,21,2
7009,22,1
7009,23,1
7010,0,2
7010,1,4
7010,2,1
7010,3,2
7010,4,1
7010,6,1
7010,8,2
7010,11,3
7010,12,1
7010,13,1
7010,14,3
7010,15,1
7010,16,2
7010,19,2
7010,20,2
7010,21,1
7010,22,3
7010,23,1
7011,18,1
7012,0,1
7012,4,1
7012,9,1
7012,15,1
7012,16,1
7012,17,1
7012,19,1
7012,20,1
7012,22,1
7013,3,1
7013,8,1
7013,10,2
7013,17,1
7014,0,1
7014,1,1
7014,2,1
7014,7,1
7014,12,2
7014,15,1
7014,17,1
7014,18,2
7014,19,1
7014,20,1
7014,21,1
7014,22,1
7014,23,1
7016,8,1
7016,11,1
7016,12,1
7016,22,2
7017,7,1
7017,9,1
7017,13,1
7017,19,1
7017,21,1
7017,22,1
7017,23,1
7018,12,1
7018,15,1
7018,17,1
7018,20,1
7018,21,1
7020,2,3
7020,3,1
7020,5,2
7020,6,1
7020,7,2
7020,8,2
7020,9,2
7020,10,1
7020,11,1
7020,15,3
7020,16,1
7020,17,3
7020,18,4
7020,19,5
7020,21,2
7020,22,2
7020,23,1
7021,7,1
7021,14,2
7021,18,1
7021,19,1
7021,20,1
7021,22,1
7022,0,1
7022,3,1
7022,4,1
7022,5,1
7022,6,1
7022,9,3
7022,10,1
7022,11,1
7022,14,1
7022,16,2
7022,18,1
7022,20,2
7022,22,2
7022,23,1
7023,0,1
7023,2,1
7023,17,1
7023,22,1
7023,23,1
7024,0,1
7024,2,1
7024,4,3
7024,5,3
7024,6,6
7024,7,4
7024,8,3
7024,9,5
7024,10,5
7024,11,4
7024,12,7
7024,13,3
7024,14,2
7024,15,5
7024,16,4
7024,17,4
7024,18,4
7024,19,4
7024,20,2
7024,21,5
7024,23,3
7026,0,1
7026,2,1
7026,6,4
7026,12,1
7026,13,1
7026,14,1
7026,19,1
7026,21,1
7026,22,1
7026,23,1
7027,0,2
7028,4,2
7028,6,1
7028,10,1
7028,12,1
7028,13,2
7028,17,2
7028,18,2
7028,19,1
7028,20,1
7028,22,1
7028,23,3
7029,1,1
7029,3,1
7029,6,1
7029,11,1
7029,13,1
7029,14,1
7029,16,1
7029,20,1
7029,21,2
7029,22,1
7029,23,1
7030,0,69
7030,1,57
7030,2,24
7030,3,21
7030,4,30
7030,5,35
7030,6,36
7030,7,35
7030,8,27
7030,9,21
7030,10,31
7030,11,30
7030,12,27
7030,13,23
7030,14,28
7030,15,40
7030,16,52
7030,17,68
7030,18,81
7030,19,78
7030,20,104
7030,21,144
7030,22,135
7030,23,104
7031,0,2
7031,5,1
7031,10,1
7031,16,2
7031,21,2
7032,11,1
7032,13,1
7032,17,1
7033,0,1
7033,11,1
7033,14,1
7033,16,2
7033,22,1
7033,23,2
7036,2,1
7036,14,2
7036,16,1
7039,4,1
7039,7,1
7039,9,1
7039,13,1
7039,15,3
7039,16,1
7039,17,2
7039,18,2
7039,19,3
7039,20,2
7039,21,1
7039,22,1
7040,1,1
7040,4,1
7040,5,1
7040,6,1
7040,7,1
7040,9,2
7040,10,1
7040,11,2
7040,14,2
7040,15,1
7040,18,1
7040,20,1
7040,22,1
7041,5,2
7041,12,1
7041,14,2
7041,16,1
7041,17,1
7041,19,1
7041,20,1
7041,21,1
7042,0,2
7042,2,2
7042,3,1
7042,4,1
7042,5,1
7042,6,2
7042,7,2
7042,8,1
7042,9,1
7042,13,1
7042,15,1
7042,16,2
7042,17,1
7042,19,2
7042,21,3
7042,23,6
7043,2,1
7043,3,2
7043,4,1
7043,5,1
7043,6,1
7043,9,1
7043,10,3
7043,11,1
7043,13,2
7043,14,1
7043,15,1
7043,16,1
7043,19,1
7043,21,2
7043,22,3
7044,4,1
7044,6,1
7044,14,1
7044,15,1
7044,16,1
7044,17,1
7044,18,1
7044,21,1
7044,23,1
7045,6,1
7045,19,1
7045,20,1
7046,10,1
7046,14,2
7046,15,1
7046,16,2
7046,19,1
7047,2,2
7047,4,1
7047,7,2
7047,8,1
7047,9,2
7047,10,1
7047,11,1
7047,13,1
7047,14,1
7047,15,1
7047,16,2
7047,17,1
7047,18,2
7047,19,1
7047,20,2
7047,21,2
7047,22,1
7047,23,1
7050,0,1
7050,6,1
7050,8,2
7050,11,1
7050,12,1
7050,14,3
7050,15,1
7050,17,2
7050,22,1
7052,0,1
7052,4,1
7052,7,1
7052,9,1
7052,10,1
7052,11,2
7052,12,2
7052,13,2
7052,15,2
7052,18,2
7052,19,2
7052,21,1
7052,23,3
7054,7,1
7054,8,2
7054,10,1
7054,14,2
7054,17,1
7054,19,1
7055,2,1
7055,7,1
7055,14,1
7055,15,1
7055,16,2
7055,23,1
7057,5,1
7057,14,1
7057,18,1
7058,18,1
7058,20,1
7058,23,1
7060,21,1
7063,10,2
7065,1,1
7065,2,2
7065,10,1
7065,13,1
7065,15,2
7065,17,1
7065,20,1
7065,23,1
7066,3,2
7066,11,1
7066,16,1
7066,17,1
7067,4,1
7067,7,1
7067,16,1
7068,3,1
7068,4,1
7068,8,1
7068,14,1
7068,16,3
7068,21,2
7069,12,1
7069,13,1
7069,17,1
7070,1,1
7070,2,2
7070,6,3
7070,9,2
7070,10,1
7070,11,3
7070,12,1
7070,13,5
7070,14,4
7070,15,2
7070,16,1
7070,17,1
7070,18,1
7070,19,1
7070,20,3
7070,21,2
7070,23,3
7071,10,1
7071,17,1
7072,0,2
7072,1,1
7072,6,2
7072,7,1
7072,9,6
7072,10,1
7072,11,4
7072,12,5
7072,13,4
7072,14,6
7072,15,7
7072,16,4
7072,17,4
7072,18,3
7072,19,3
7072,20,2
7072,21,13
7072,22,13
7072,23,9
7073,0,2
7073,2,2
7073,9,1
7073,10,1
7073,11,1
7073,12,2
7073,13,1
7073,14,1
7073,15,1
7073,16,1
7073,17,4
7073,23,1
7074,7,1
7074,11,1
7074,13,1
7074,14,1
7074,16,4
7074,20,1
7074,21,2
7075,0,1
7075,14,1
7075,18,2
7075,23,1
7076,6,1
7078,4,2
7078,6,1
7078,8,1
7078,9,1
7078,10,2
7078,11,1
7078,12,6
7078,13,2
7078,14,4
7078,15,2
7078,16,2
7078,17,7
7078,18,2
7078,19,4
7078,20,3
7078,21,4
7078,22,4
7078,23,2
7079,2,2
7079,3,2
7079,7,1
7079,13,2
7079,14,1
7079,15,2
7079,16,3
7079,17,1
7079,20,4
7079,21,2
7079,22,2
7079,23,1
7080,6,1
7080,8,1
7080,15,1
7081,11,1
7081,12,1
7081,13,3
7081,14,2
7081,15,1
7081,16,1
7081,18,1
7081,19,2
7081,20,1
7081,21,1
7083,2,1
7083,3,1
7083,11,1
7083,12,1
7083,14,1
7083,20,1
7086,0,5
7086,1,3
7086,2,6
7086,3,4
7086,4,4
7086,5,2
7086,6,2
7086,7,2
7086,8,3
7086,9,3
7086,10,2
7086,11,8
7086,12,8
7086,13,4
7086,14,1
7086,15,5
7086,16,7
7086,17,7
7086,18,5
7086,19,4
7086,20,8
7086,21,9
7086,22,6
7086,23,4
7087,0,4
7087,1,2
7087,2,1
7087,3,3
7087,4,5
7087,5,4
7087,6,1
7087,7,3
7087,8,3
7087,9,5
7087,10,3
7087,11,2
7087,12,3
7087,13,3
7087,14,3
7087,15,7
7087,16,2
7087,17,12
7087,18,6
7087,19,9
7087,20,5
7087,21,4
7087,22,7
7087,23,5
7088,0,1
7088,5,1
7088,8,1
7088,9,1
7088,12,1
7088,15,2
7088,16,1
7088,17,1
7088,18,1
7090,6,1
7090,11,1
7090,16,1
7090,17,2
7090,19,1
7090,22,2
7092,11,1
7092,20,1
7092,22,1
7093,0,5
7093,1,4
7093,2,3
7093,3,10
7093,4,2
7093,5,3
7093,6,6
7093,7,5
7093,8,4
7093,9,1
7093,10,2
7093,12,4
7093,13,4
7093,14,3
7093,15,1
7093,16,8
7093,17,7
7093,18,10
7093,19,3
7093,20,6
7093,21,8
7093,22,6
7093,23,8
7094,0,4
7094,1,1
7094,2,1
7094,3,2
7094,4,1
7094,5,4
7094,6,8
7094,7,2
7094,8,3
7094,9,3
7094,10,7
7094,11,2
7094,12,11
7094,13,9
7094,14,16
7094,15,6
7094,16,10
7094,17,5
7094,18,12
7094,19,3
7094,20,7
7094,21,3
7094,22,10
7094,23,4
7095,3,1
7095,9,1
7102,0,6
7102,1,2
7102,2,1
