Zip,Hour,Number of Trips
6605,14,1
6605,23,1
6606,8,1
6615,6,1
6807,7,1
6807,19,1
6820,10,1
6820,11,1
6820,14,1
6820,17,1
6820,21,1
6824,9,1
6825,14,1
6830,7,1
6830,9,1
6830,10,1
6830,11,1
6830,18,1
6830,20,2
6830,21,1
6854,0,1
6855,19,1
6855,22,1
6855,23,1
6870,14,1
6870,20,1
6870,22,1
6878,2,1
6878,18,1
6880,10,1
6880,19,1
6880,20,1
6883,7,1
6901,0,1
6901,1,1
6901,5,1
6901,9,1
6901,11,1
6901,15,1
6901,17,1
6901,18,2
6901,19,1
6901,20,2
6901,21,1
6901,22,2
6901,23,1
6902,19,1
6902,20,1
6902,21,1
6907,20,1
7001,7,1
7002,0,1
7002,1,1
7002,4,2
7002,5,2
7002,6,2
7002,7,1
7002,8,6
7002,9,3
7002,10,4
7002,12,2
7002,13,5
7002,14,6
7002,15,5
7002,16,4
7002,17,3
7002,18,3
7002,19,5
7002,20,2
7002,22,1
7002,23,3
7003,6,1
7003,13,1
7003,14,1
7003,19,1
7003,21,1
7004,7,1
7004,10,2
7004,21,1
7004,22,1
7005,3,1
7005,18,1
7006,1,1
7006,11,2
7006,12,1
7006,15,1
7006,16,1
7006,19,1
7006,21,1
7008,2,1
7008,11,1
7009,0,1
7009,22,1
7010,1,2
7010,3,1
7010,4,5
7010,5,1
7010,6,1
7010,7,2
7010,8,2
7010,9,1
7010,12,2
7010,13,1
7010,14,1
7010,15,1
7010,16,3
7010,17,3
7010,18,2
7010,19,1
7010,20,2
7010,21,1
7010,23,1
7011,1,1
7011,7,1
7011,13,1
7012,9,1
7012,12,1
7012,14,1
7012,15,2
7012,17,1
7012,18,1
7012,19,2
7012,20,2
7012,21,3
7012,22,1
7013,4,1
7013,8,1
7013,10,1
7013,12,1
7014,1,1
7014,4,1
7014,6,1
7014,8,1
7014,10,1
7014,11,1
7014,12,1
7014,13,1
7014,14,1
7014,15,1
7014,17,1
7014,18,1
7014,19,1
7014,20,2
7014,21,1
7014,23,1
7016,3,1
7016,7,1
7016,10,2
7016,12,2
7016,14,1
7017,6,2
7017,8,1
7017,9,1
7017,10,1
7017,11,1
7017,12,1
7017,16,1
7017,23,1
7018,7,1
7018,8,1
7018,9,1
7018,13,1
7018,17,1
7018,19,1
7018,20,1
7018,22,2
7020,0,1
7020,3,1
7020,4,1
7020,5,1
7020,6,3
7020,7,3
7020,8,1
7020,9,2
7020,10,2
7020,12,1
7020,14,2
7020,15,2
7020,17,2
7020,18,1
7020,19,2
7020,21,4
7020,22,1
7021,0,1
7021,4,1
7021,5,1
7021,8,1
7021,10,1
7021,13,1
7021,15,1
7021,17,1
7021,18,1
7021,19,1
7021,21,1
7021,22,2
7022,0,2
7022,3,2
7022,4,1
7022,5,1
7022,6,2
7022,11,2
7022,15,1
7022,17,2
7022,19,2
7022,20,3
7022,21,3
7022,23,1
7023,0,1
7024,0,1
7024,1,2
7024,2,1
7024,3,4
7024,4,2
7024,5,4
7024,6,3
7024,7,6
7024,8,4
7024,9,8
7024,10,5
7024,11,4
7024,12,6
7024,13,3
7024,14,5
7024,15,6
7024,16,6
7024,17,1
7024,18,4
7024,19,4
7024,20,3
7024,21,3
7024,22,2
7024,23,2
7026,6,2
7026,8,1
7026,9,1
7026,10,1
7026,11,1
7026,13,1
7026,14,1
7026,17,1
7026,20,1
7026,23,1
7027,10,1
7027,14,1
7027,17,1
7027,18,1
7027,20,1
7027,21,1
7028,0,1
7028,2,1
7028,4,2
7028,5,2
7028,10,1
7028,14,1
7028,15,1
7028,16,1
7028,17,1
7028,18,2
7028,20,1
7028,21,3
7028,22,2
7028,23,1
7029,0,1
7029,8,1
7029,11,1
7029,14,1
7029,15,1
7029,17,1
7029,20,2
7029,21,1
7029,22,2
7030,0,75
7030,1,61
7030,2,16
7030,3,19
7030,4,40
7030,5,30
7030,6,34
7030,7,35
7030,8,32
7030,9,19
7030,10,24
7030,11,35
7030,12,31
7030,13,40
7030,14,31
7030,15,41
7030,16,45
7030,17,72
7030,18,77
7030,19,92
7030,20,110
7030,21,139
7030,22,117
7030,23,86
7031,0,1
7031,1,1
7031,4,1
7031,5,1
7031,10,1
7031,11,1
7031,12,1
7031,16,1
7031,17,1
7031,18,2
7031,20,1
7031,21,1
7032,9,1
7032,20,1
7033,10,1
7033,15,1
7035,6,1
7036,2,1
7036,9,1
7039,10,1
7039,12,1
7039,13,1
7039,14,1
7039,17,2
7039,18,2
7039,19,2
7039,21,2
7039,22,1
7039,23,1
7040,2,1
7040,3,1
7040,5,3
7040,6,2
7040,10,2
7040,13,1
7040,14,1
7040,16,2
7040,18,1
7040,21,1
7040,22,2
7040,23,1
7041,5,1
7041,7,1
7041,8,1
7041,11,1
7041,13,1
7041,18,1
7041,19,1
7041,23,1
7042,0,3
7042,5,1
7042,12,1
7042,14,1
7042,17,2
7042,18,1
7042,19,1
7042,20,2
7042,21,1
7042,22,2
7042,23,2
7043,7,2
7043,9,3
7043,10,2
7043,11,2
7043,15,2
7043,16,2
7043,21,2
7043,22,2
7044,7,1
7044,14,1
7044,15,1
7044,17,1
7044,18,1
7044,19,2
