Zip,Number of Trips
6450,1
6511,1
6606,1
6807,3
6820,3
6830,9
6831,1
6840,2
6850,1
6851,2
6870,2
6878,4
6880,1
6901,14
6902,3
6905,2
6906,1
6907,2
7001,2
7002,54
7003,10
7004,8
7005,2
7006,5
7008,7
7009,9
7010,28
7011,2
7012,13
7013,6
7014,12
7016,6
7017,11
7018,6
7020,36
7021,7
7022,19
7023,4
7024,84
7026,7
7027,3
7028,16
7029,9
7030,1317
7031,3
7032,3
7033,6
7036,5
7039,11
7040,20
7041,13
7042,27
7043,11
7044,17
7046,5
7047,31
7050,6
7052,22
7054,9
7055,3
7057,6
7058,3
7059,3
7062,2
7063,1
7065,4
7066,7
7067,2
7068,6
7069,1
7070,28
7071,8
7072,94
7073,20
7074,12
7075,4
7077,1
7078,37
7079,34
7080,2
7081,9
7083,7
7086,127
7087,91
7088,7
7090,7
7092,2
7093,93
7094,143
7095,4
7102,241
7103,17
7104,8
7105,32
7106,11
7107,4
7108,12
7109,9
7110,14
7111,10
7112,11
7114,3483
7201,63
7202,6
7203,5
7204,3
7205,8
7206,16
7208,23
7302,453
7304,136
7305,29
7306,157
7307,125
7310,1124
7311,571
7401,6
7407,1
7410,2
7417,6
7423,4
7424,10
7430,1
7432,3
7442,2
7444,2
7446,12
7450,18
7452,2
7457,1
7458,16
7463,3
7470,8
7481,8
7495,4
7501,4
7502,1
7503,1
7506,4
7512,6
7513,2
7514,2
7524,4
7601,17
7603,5
7604,21
7605,14
7606,5
7607,10
7608,17
7621,5
7624,2
7626,11
7627,5
7628,3
7631,43
7632,31
7640,4
7641,1
7642,3
7643,6
7644,8
7645,10
7646,2
7647,4
7648,9
7649,5
7650,14
7652,13
7656,2
7657,5
7660,25
7661,10
7662,16
7663,7
7666,12
7670,23
7676,14
7677,2
7701,11
7702,2
7704,2
7711,3
7712,2
7716,1
7717,23
7719,4
7720,2
7721,1
7723,1
7724,2
7727,1
7730,1
7731,1
7733,6
7739,1
7740,2
7747,2
7750,2
7753,2
7756,12
7757,2
7760,4
7762,7
7764,3
7801,1
7834,2
7866,2
7901,30
7921,7
7922,4
7924,4
7927,19
7928,11
7932,6
7933,2
7935,1
7936,13
7939,3
7940,12
7945,1
7950,10
7960,25
7974,2
7976,3
7980,1
7981,8
8008,1
8520,1
8528,3
8535,1
8536,8
8540,1
8542,9
8550,4
8691,1
8730,3
8735,2
8738,3
8742,2
8750,8
8751,2
8752,1
8807,3
8810,1
8817,8
8820,2
8824,2
8830,12
8837,5
8840,6
8846,4
8850,1
8854,8
8857,1
8859,1
8861,2
8863,6
8869,4
8872,1
