Zip,Weekday,Hour,Expected Trips,Expected Trips (Est)
6410,0,0,0,0.0
6410,0,1,0,0.0
6410,0,2,0,0.0014837811468169093
6410,0,3,0,0.008032344281673431
6410,0,4,0,0.014580908231437206
6410,0,5,0,0.021122895181179047
6410,0,6,0,0.027671458199620247
6410,0,7,0,0.03422002121806145
6410,0,8,0,0.04076420143246651
6410,0,9,0,0.04731057211756706
6410,0,10,0,0.05385694280266762
6410,0,11,0,0.06040331348776817
6410,0,12,0,0.06695406883955002
6410,0,13,0,0.07349824160337448
6410,0,14,0,0.08004681020975113
6410,0,15,0,0.06885045766830444
6410,0,16,0,0.01795055717229843
6410,0,17,0,0.0
6410,0,18,0,0.0
6410,0,19,0,0.0
6410,0,20,0,0.0
6410,0,21,0,0.0
6410,0,22,0,0.0
6410,0,23,0,0.0
6410,1,0,0,0.7968766689300537
6410,1,1,0,0.7459767460823059
6410,1,2,0,0.6950790286064148
6410,1,3,0,0.6441813111305237
6410,1,4,0,0.5932836532592773
6410,1,5,0,0.5423859357833862
6410,1,6,0,0.4914860129356384
6410,1,7,0,0.4405883252620697
6410,1,8,0,0.3896884322166443
6410,1,9,0,0.33879509568214417
6410,1,10,0,0.28789520263671875
6410,1,11,0,0.23699529469013214
6410,1,12,0,0.18609978258609772
6410,1,13,0,0.1351998746395111
6410,1,14,0,0.08430217206478119
6410,1,15,0,0.033406659960746765
6410,1,16,0,0.0
6410,1,17,0,0.0
6410,1,18,0,0.0
6410,1,19,0,0.0
6410,1,20,0,0.0
6410,1,21,0,0.0
6410,1,22,0,0.0
6410,1,23,0,0.0
6410,2,0,0,0.7614284753799438
6410,2,1,0,0.7105307579040527
6410,2,2,0,0.6596330404281616
6410,2,3,0,0.6087331771850586
6410,2,4,0,0.5578376650810242
6410,2,5,0,0.5069399476051331
6410,2,6,0,0.45604223012924194
6410,2,7,0,0.40514233708381653
6410,2,8,0,0.3542424440383911
6410,2,9,0,0.3033469021320343
6410,2,10,0,0.2524448335170746
6410,2,11,0,0.20154711604118347
6410,2,12,0,0.15064939856529236
6410,2,13,0,0.09975388646125793
6410,2,14,0,0.04885398969054222
6410,2,15,0,0.0
6410,2,16,0,0.0
6410,2,17,0,0.0
6410,2,18,0,0.0
6410,2,19,0,0.0
6410,2,20,0,0.0
6410,2,21,0,0.0
6410,2,22,0,0.0
6410,2,23,0,0.0
6410,3,0,0,0.7259846925735474
6410,3,1,0,0.6750847697257996
6410,3,2,0,0.6241892576217651
6410,3,3,0,0.5732871890068054
6410,3,4,0,0.522391676902771
6410,3,5,0,0.4714917540550232
6410,3,6,0,0.4205940365791321
6410,3,7,0,0.36969634890556335
6410,3,8,0,0.31879863142967224
6410,3,9,0,0.2678987383842468
6410,3,10,0,0.2170032113790512
6410,3,11,0,0.1661011278629303
6410,3,12,0,0.11520560085773468
6410,3,13,0,0.06430350989103317
6410,3,14,0,0.013412383385002613
6410,3,15,0,0.0
6410,3,16,0,0.0
6410,3,17,0,0.0
6410,3,18,0,0.0
6410,3,19,0,0.0
6410,3,20,0,0.0
6410,3,21,0,0.0
6410,3,22,0,0.0
6410,3,23,0,0.0
6410,4,0,0,0.6905364990234375
6410,4,1,0,0.6396387815475464
6410,4,2,0,0.5887411236763
6410,4,3,0,0.5378412008285522
6410,4,4,0,0.48694565892219543
6410,4,5,0,0.43604576587677
6410,4,6,0,0.3851502537727356
6410,4,7,0,0.3342525362968445
6410,4,8,0,0.2833482623100281
6410,4,9,0,0.23245492577552795
6410,4,10,0,0.18155722320079803
6410,4,11,0,0.13065950572490692
6410,4,12,0,0.07975741475820541
6410,4,13,0,0.028859714046120644
6410,4,14,0,0.0
6410,4,15,0,0.0
6410,4,16,0,0.0
6410,4,17,0,0.0
6410,4,18,0,0.0
6410,4,19,0,0.0
6410,4,20,0,0.0
6410,4,21,0,0.0
6410,4,22,0,0.0
6410,4,23,0,0.0
6410,5,0,0,0.655092716217041
6410,5,1,0,0.6041906476020813
6410,5,2,0,0.5532972812652588
6410,5,3,0,0.5023952126502991
6410,5,4,0,0.45149967074394226
6410,5,5,0,0.40059757232666016
6410,5,6,0,0.34969988465309143
6410,5,7,0,0.2988065481185913
6410,5,8,0,0.2479022592306137
6410,5,9,0,0.1970045566558838
6410,5,10,0,0.14610683917999268
6410,5,11,0,0.09521132707595825
6410,5,12,0,0.04431143030524254
6410,5,13,0,0.0
6410,5,14,0,0.0
6410,5,15,0,0.0
6410,5,16,0,0.0
6410,5,17,0,0.0
6410,5,18,0,0.0
6410,5,19,0,0.0
6410,5,20,0,0.0
6410,5,21,0,0.0
6410,5,22,0,0.0
6410,5,23,0,0.0
6410,6,0,0,0.6196467280387878
6410,6,1,0,0.5687423944473267
6410,6,2,0,0.5178490877151489
6410,6,3,0,0.4669491946697235
6410,6,4,0,0.4160536825656891
6410,6,5,0,0.365151584148407
6410,6,6,0,0.31425386667251587
6410,6,7,0,0.26335835456848145
6410,6,8,0,0.21245627105236053
6410,6,9,0,0.1615629494190216
6410,6,10,0,0.110663041472435
6410,6,11,0,0.05976753309369087
6410,6,12,0,0.00886543933302164
6410,6,13,0,0.0
6410,6,14,0,0.0
6410,6,15,0,0.0
6410,6,16,0,0.0
6410,6,17,0,0.0
6410,6,18,0,0.0
6410,6,19,0,0.0
6410,6,20,0,0.0
6410,6,21,0,0.0
6410,6,22,0,0.0
6410,6,23,0,0.0
6450,0,0,0,0.0
6450,0,1,0,0.0
6450,0,2,0,0.0
6450,0,3,0,0.0
6450,0,4,0,0.0
6450,0,5,0,0.0
6450,0,6,0,0.0
6450,0,7,0,0.0
6450,0,8,0,0.0
6450,0,9,0,0.0012250832514837384
6450,0,10,0,0.007773646619170904
6450,0,11,0,0.014320017769932747
6450,0,12,0,0.020864196121692657
6450,0,13,0,0.027412761002779007
6450,0,14,0,0.03395913168787956
6450,0,15,0,0.04050988703966141
6450,0,16,0,0.02122812718153
6450,0,17,0,0.0
6450,0,18,0,0.0
6450,0,19,0,0.0
6450,0,20,0,0.0
6450,0,21,0,0.0
6450,0,22,0,0.0
6450,0,23,0,0.0
6450,1,0,0,0.763180136680603
6450,1,1,0,0.7492564916610718
6450,1,2,0,0.6983588337898254
6450,1,3,0,0.6474589109420776
6450,1,4,0,0.5965656042098999
6450,1,5,0,0.5456634759902954
6450,1,6,0,0.4947701692581177
6450,1,7,0,0.44387027621269226
6450,1,8,0,0.39297038316726685
6450,1,9,0,0.34207049012184143
6450,1,10,0,0.2911749482154846
6450,1,11,0,0.2402750551700592
6450,1,12,0,0.18937954306602478
6450,1,13,0,0.13847744464874268
6450,1,14,0,0.08758193254470825
6450,1,15,0,0.03668422996997833
6450,1,16,0,0.0
6450,1,17,0,0.0
6450,1,18,0,0.0
6450,1,19,0,0.0
6450,1,20,0,0.0
6450,1,21,0,0.0
6450,1,22,0,0.0
6450,1,23,0,0.0
6450,2,0,0,0.7647126317024231
6450,2,1,0,0.7138127088546753
6450,2,2,0,0.6629128456115723
6450,2,3,0,0.6120151281356812
6450,2,4,0,0.5611152052879333
6450,2,5,0,0.5102196931838989
6450,2,6,0,0.4593154191970825
6450,2,7,0,0.4084220826625824
6450,2,8,0,0.357522189617157
6450,2,9,0,0.30662447214126587
6450,2,10,0,0.25572678446769714
6450,2,11,0,0.20482906699180603
6450,2,12,0,0.1539313644170761
6450,2,13,0,0.1030314564704895
6450,2,14,0,0.05213375389575958
6450,2,15,0,0.0012382373679429293
6450,2,16,0,0.0
6450,2,17,0,0.0
6450,2,18,0,0.0
6450,2,19,0,0.0
6450,2,20,0,0.0
6450,2,21,0,0.0
6450,2,22,0,0.0
6450,2,23,0,0.0
6450,3,0,0,0.7292622327804565
6450,3,1,0,0.6783645153045654
6450,3,2,0,0.627469003200531
6450,3,3,0,0.5765647888183594
6450,3,4,0,0.5256736278533936
6450,3,5,0,0.47477152943611145
6450,3,6,0,0.42387598752975464
6450,3,7,0,0.3729760944843292
6450,3,8,0,0.3220762014389038
6450,3,9,0,0.2711784839630127
6450,3,10,0,0.22028297185897827
6450,3,11,0,0.16938307881355286
6450,3,12,0,0.11848536133766174
6450,3,13,0,0.06758765876293182
6450,3,14,0,0.01668776199221611
6450,3,15,0,0.0
6450,3,16,0,0.0
6450,3,17,0,0.0
6450,3,18,0,0.0
6450,3,19,0,0.0
6450,3,20,0,0.0
6450,3,21,0,0.0
6450,3,22,0,0.0
6450,3,23,0,0.0
6450,4,0,0,0.6938206553459167
6450,4,1,0,0.6429185271263123
6450,4,2,0,0.5920230746269226
6450,4,3,0,0.5411231517791748
6450,4,4,0,0.490227609872818
6450,4,5,0,0.4393255114555359
6450,4,6,0,0.38842782378196716
6450,4,7,0,0.33753010630607605
6450,4,8,0,0.28663021326065063
6450,4,9,0,0.23573249578475952
6450,4,10,0,0.1848369836807251
6450,4,11,0,0.133934885263443
6450,4,12,0,0.08303937315940857
6450,4,13,0,0.032139476388692856
6450,4,14,0,0.0
6450,4,15,0,0.0
6450,4,16,0,0.0
6450,4,17,0,0.0
6450,4,18,0,0.0
6450,4,19,0,0.0
6450,4,20,0,0.0
6450,4,21,0,0.0
6450,4,22,0,0.0
6450,4,23,0,0.0
6450,5,0,0,0.6583702564239502
6450,5,1,0,0.6074748039245605
6450,5,2,0,0.556572675704956
6450,5,3,0,0.5056771636009216
6450,5,4,0,0.45477724075317383
6450,5,5,0,0.4038795232772827
6450,5,6,0,0.3529796302318573
6450,5,7,0,0.3020841181278229
6450,5,8,0,0.25118201971054077
6450,5,9,0,0.20028869807720184
6450,5,10,0,0.14939098060131073
6450,5,11,0,0.09849327802658081
6450,5,12,0,0.0475911945104599
6450,5,13,0,0.0
6450,5,14,0,0.0
6450,5,15,0,0.0
6450,5,16,0,0.0
6450,5,17,0,0.0
6450,5,18,0,0.0
6450,5,19,0,0.0
6450,5,20,0,0.0
6450,5,21,0,0.0
6450,5,22,0,0.0
6450,5,23,0,0.0
6450,6,0,0,0.6229286789894104
