Latitude,Longitude,Number of Trips
40.65,-73.92,1
40.67,-73.98,1
40.68,-73.99,1
40.68,-73.98,1
40.68,-73.97,1
40.69,-74.18,1
40.69,-73.97,1
40.69,-73.91,1
40.7,-74.0,1
40.7,-73.94,1
40.71,-74.01,2
40.71,-73.95,1
40.71,-73.93,1
40.71,-73.8,1
40.72,-74.01,2
40.72,-74.0,1
40.72,-73.99,3
40.72,-73.96,1
40.73,-74.27,1
40.73,-74.01,4
40.73,-74.0,12
40.73,-73.99,4
40.73,-73.98,1
40.73,-73.96,1
40.74,-74.07,1
40.74,-74.01,1
40.74,-74.0,4
40.74,-73.99,4
40.74,-73.98,3
40.74,-73.93,1
40.75,-74.28,1
40.75,-74.01,3
40.75,-73.98,1
40.75,-73.97,1
40.75,-73.95,1
40.76,-73.99,2
40.76,-73.98,3
40.76,-73.97,4
40.76,-73.95,1
40.77,-73.98,4
40.77,-73.97,2
40.77,-73.96,2
40.77,-73.95,1
40.77,-73.89,1
40.77,-73.87,1
40.78,-73.99,1
40.78,-73.95,3
40.78,-73.94,1
40.79,-73.97,3
40.82,-73.93,1
40.83,-74.08,1
40.86,-73.93,1
40.89,-73.91,1
41.02,-73.71,1
