Latitude,Longitude,Weekday,Number of Trips
40.65,-73.92,Thursday,1
40.67,-73.98,Thursday,1
40.68,-73.99,Saturday,1
40.68,-73.98,Saturday,1
40.68,-73.97,Friday,1
40.69,-74.18,Wednesday,1
40.69,-73.97,Sunday,1
40.69,-73.91,Thursday,1
40.7,-74.0,Friday,1
40.7,-73.94,Thursday,1
40.71,-74.01,Thursday,2
40.71,-73.95,Tuesday,1
40.71,-73.93,Saturday,1
40.71,-73.8,Tuesday,1
40.72,-74.01,Friday,1
40.72,-74.01,Sunday,1
40.72,-74.0,Thursday,1
40.72,-73.99,Monday,1
40.72,-73.99,Sunday,2
40.72,-73.96,Tuesday,1
40.73,-74.27,Thursday,1
40.73,-74.01,Friday,1
40.73,-74.01,Thursday,2
40.73,-74.01,Tuesday,1
40.73,-74.0,Friday,1
40.73,-74.0,Monday,1
40.73,-74.0,Saturday,1
40.73,-74.0,Sunday,2
40.73,-74.0,Thursday,1
40.73,-74.0,Tuesday,3
40.73,-74.0,Wednesday,3
40.73,-73.99,Friday,2
40.73,-73.99,Saturday,1
40.73,-73.99,Tuesday,1
40.73,-73.98,Thursday,1
40.73,-73.96,Friday,1
40.74,-74.07,Sunday,1
40.74,-74.01,Monday,1
40.74,-74.0,Friday,1
40.74,-74.0,Saturday,3
40.74,-73.99,Thursday,2
40.74,-73.99,Tuesday,2
40.74,-73.98,Monday,1
40.74,-73.98,Thursday,1
40.74,-73.98,Wednesday,1
40.74,-73.93,Tuesday,1
40.75,-74.28,Wednesday,1
40.75,-74.01,Saturday,1
40.75,-74.01,Thursday,1
40.75,-74.01,Wednesday,1
40.75,-73.98,Tuesday,1
40.75,-73.97,Sunday,1
40.75,-73.95,Monday,1
40.76,-73.99,Friday,1
40.76,-73.99,Tuesday,1
40.76,-73.98,Friday,2
40.76,-73.98,Monday,1
40.76,-73.97,Friday,1
40.76,-73.97,Monday,1
40.76,-73.97,Sunday,2
40.76,-73.95,Wednesday,1
40.77,-73.98,Friday,2
40.77,-73.98,Sunday,1
40.77,-73.98,Tuesday,1
40.77,-73.97,Saturday,1
40.77,-73.97,Thursday,1
40.77,-73.96,Friday,1
40.77,-73.96,Monday,1
40.77,-73.95,Monday,1
40.77,-73.89,Monday,1
40.77,-73.87,Friday,1
40.78,-73.99,Wednesday,1
40.78,-73.95,Friday,1
40.78,-73.95,Monday,1
40.78,-73.95,Saturday,1
40.78,-73.94,Monday,1
40.79,-73.97,Monday,1
40.79,-73.97,Saturday,1
40.79,-73.97,Thursday,1
40.82,-73.93,Friday,1
40.83,-74.08,Saturday,1
40.86,-73.93,Tuesday,1
40.89,-73.91,Tuesday,1
41.02,-73.71,Tuesday,1
