Zip,Hour,Number of Trips
07030,17,1
07114,16,1
07302,14,1
10001,17,1
10002,15,1
10002,16,1
10002,18,1
10002,19,2
10002,20,1
10002,21,1
10003,12,1
10003,18,2
10003,19,1
10003,22,2
10005,21,1
10006,23,1
10009,8,1
10009,13,1
10009,15,1
10009,21,1
10011,9,1
10011,12,1
10011,17,1
10011,19,1
10011,20,1
10012,19,1
10012,20,1
10012,21,1
10013,17,1
10014,22,3
10017,13,1
10017,17,1
10018,20,1
10018,21,1
10020,10,1
10020,23,1
10021,10,1
10021,12,1
10021,16,1
10021,18,1
10022,19,1
10022,20,1
10023,8,1
10023,9,1
10023,14,1
10023,17,1
10028,14,1
10028,15,1
10028,17,1
10028,23,1
10044,5,1
10065,0,1
10065,6,1
10065,7,1
10069,3,1
10103,16,1
10103,20,1
10110,14,1
10110,17,2
10110,18,1
10111,16,1
10111,18,1
10111,22,1
10115,15,1
10119,0,1
10119,1,1
10119,12,1
10119,17,1
10119,22,1
10153,19,1
10154,12,1
10154,19,1
10154,21,1
10162,16,1
10171,21,1
10171,22,1
10171,23,1
10199,16,1
10199,20,1
10271,21,1
10282,19,1
11103,12,1
11109,9,1
11109,16,1
11201,18,1
11221,16,1
11226,5,1
11371,10,1
11371,11,1
11371,13,1
11422,12,1
11422,14,1
11714,17,1
11804,11,1
