Zip,Weekday,Hour,Number of Trips
07114,6,6,1
10001,4,14,1
10001,4,19,1
10002,1,5,1
10002,3,21,1
10002,4,18,1
10002,4,22,1
10003,0,15,1
10003,1,17,1
10003,3,13,1
10003,4,6,1
10003,5,23,1
10006,1,14,1
10006,4,18,1
10007,5,22,1
10007,6,12,1
10009,1,23,1
10009,2,8,1
10009,3,8,1
10011,1,6,1
10011,3,15,1
10012,0,6,1
10012,1,19,1
10012,3,22,2
10012,5,22,1
10012,6,16,1
10013,1,11,1
10013,2,21,1
10013,6,16,1
10014,1,18,1
10014,6,23,1
10017,2,17,1
10017,3,17,1
10017,4,14,1
10017,5,15,1
10018,2,20,1
10018,3,14,1
10018,3,20,1
10019,4,16,1
10019,6,17,1
10021,2,8,1
10021,6,17,1
10022,2,15,2
10022,2,21,1
10023,0,4,1
10027,1,16,1
10028,5,19,1
10044,3,22,1
10065,1,7,1
10065,3,19,1
10103,0,11,1
10110,0,20,1
10110,3,21,1
10110,5,14,1
10112,3,14,1
10119,3,8,1
10153,4,15,1
10154,4,21,2
10162,2,8,1
10162,4,8,1
10199,0,12,1
10199,1,20,1
10199,2,13,1
10199,6,16,1
10271,2,14,1
10271,4,16,1
10278,6,8,1
10280,4,18,1
10280,5,23,1
10282,1,13,1
10282,2,19,1
10469,0,23,1
11103,2,13,1
11201,1,0,1
11201,1,18,1
11201,5,13,1
11205,4,2,1
11211,0,23,1
11211,5,23,1
11215,4,14,1
11217,1,18,1
11217,1,21,1
11217,5,18,1
11222,2,16,1
11225,6,7,1
11238,4,14,1
11238,6,22,1
11354,5,21,1
11355,2,6,1
11371,1,11,1
11371,5,12,1
11372,6,9,1
11422,0,1,1
11422,4,5,1
11422,5,5,1
11422,5,16,1
11422,6,14,1
